type,subject,format,question,answer
bonus,math,Short Answer,"8) Math – Short Answer Rounded to the nearest integer, what is the area of a circle of circumference 8?",5
toss-up,energy,Multiple Choice,9) Energy – Multiple Choice What accounts for the largest use of fresh water in the U.S. today? W) Agriculture X) Mineral recovery Y) Cooling power plants Z) Human consumption,Y) COOLING POWER PLANTS
bonus,energy,Short Answer,9) Energy – Short Answer What grade of coal has the highest energy density?,"ANTHRACITE (ACCEPT: BITUMINOUS)
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,10) Math – Short Answer What is the percentage increase from 75 to 120?,60
bonus,math,Short Answer,"10) Math – Short Answer What is the sum of the mean, median, and mode of the following list of eight numbers: 1, 2, 3, 3, 6, 9, 11, 13?","13.5 (ACCEPT: 27/2, 13 ½)"
toss-up,energy,Multiple Choice,"12) Energy – Multiple Choice According to the U.S. Energy Information Administration, which of the following encompasses the least portion of energy usage in the modern American home? W) Air conditioning X) Electronics, lighting, and appliances Y) Space heating Z) Water heating",W) AIR CONDITIONING
bonus,energy,Multiple Choice,"12) Energy – Multiple Choice In the U.S., where is most high-level nuclear waste presently stored? W) Yucca Mountain X) The Grand Canyon Y) On-site at nuclear reactors Z) In breeder reactors",Y) ON-SITE AT NUCLEAR REACTORS
toss-up,math,Short Answer,14) Math – Short Answer What is the area of an isosceles triangle incribed in a rectangle with sides of length 1 and 4?,2
bonus,math,Short Answer,"14) Math – Short Answer On a math exam, every question gives two explicit choices, A and B, but the answer can be any combination of these two choices. The answer includes choice A 70% of the time and choice B 50% of the time. The answer is neither A nor B 10% of the time. For what percentage of questions is the answer both A and B?",30
toss-up,math,Short Answer,21) Math – Short Answer Name one of the linear factors of x2 – x – 72.,x – 9 OR x + 8 (must give at least one)
bonus,math,Short Answer,21) Math – Short Answer A 3-digit number has 3 different digits. The number formed by reversing its digits is also a 3-digit number. What is the largest possible sum of these two numbers?,"1857
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Multiple Choice,"2) Math – Multiple Choice The sum of two numbers is a. If each number is quadrupled and then 6 is added to each number, what is the sum of the final two numbers? W) 4a X) 4a + 6 Y) 4a + 12 Z) 8a + 6",Y) 4a + 12
bonus,math,Short Answer,2) Math – Short Answer A custom mixture of nuts is composed of cashews worth $8 a pound and almonds worth $6 a pound. Ray purchases 9 pounds of the mixture for $67. How many of these 9 pounds are cashews?,"6.5 (ACCEPT: 6½, 13/2)"
toss-up,math,Short Answer,"4) Math – Short Answer If a triangle has two sides with respective lengths of 12 and 7, what is the minimum possible integer length of the third side?",6
bonus,math,Short Answer,"4) Math – Short Answer What is the sum of the integers between 70 and 89, inclusive?",1590
toss-up,energy,Short Answer,"5) Energy – Short Answer Butterflies, lizards, and gemstones all use complex structures to create iridescent displays that humans find attractive. Scientists at Argonne National Lab used X-rays to discover how these microscopic structures work. What is the name of these structures?",PHOTONIC CRYSTALS
bonus,energy,Multiple Choice,"5) Energy – Multiple Choice In the modern American home, what represents the largest portion of energy usage? W) Refrigeration X) Electronics Y) Lighting Z) Heating","Z) HEATING
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,9) Math – Short Answer What is the greatest integer less than or equal to the square root of 700?,26
bonus,math,Short Answer,9) Math – Short Answer What is the median of the first 10 prime numbers?,"12
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Short Answer,10) Energy – Short Answer Oxides of what two elements that can cause acid rain are emitted by coal-fired power plants and vehicles?,SULFUR AND NITROGEN
bonus,energy,Multiple Choice,10) Energy – Multiple Choice Humans introduce 30 billion tons of carbon dioxide into the atmosphere each year. DOE National Lab scientists have found that plants and oceans can absorb carbon dioxide and convert it to which of the following types of rock? W) Limestone X) Granite Y) Igneous [IG-nee-us] Z) Quartz,W) LIMESTONE
toss-up,energy,Multiple Choice,"12) Energy – Multiple Choice According to the U.S. Energy Information Administration, which of the following industrial sectors is responsible for the largest total energy use in the United States? W) Chemical production X) Steel making Y) Cement making Z) Petroleum refining",Z) PETROLEUM REFINING
bonus,energy,Short Answer,"12) Energy – Short Answer Rank the following sectors by total annual energy consumption in the U.S., from least amount of energy consumed to greatest: 1) Residential; 2) Transportation; 3) Commercial; 4) Industrial.","3, 1, 2, 4 (COMMERCIAL, RESIDENTIAL, TRANSPORTATION, INDUSTRIAL)"
toss-up,math,Short Answer,14) Math – Short Answer A right circular cone has radius 2 and height 6. What is its volume?,8π
bonus,math,Short Answer,"14) Math – Short Answer At what value of y does the line that contains the points (2, 4) and (5, 12) cross the y-axis?",–4/3 (ACCEPT: –1 1/3)
toss-up,energy,Short Answer,"18) Earth and Space – Short Answer To the nearest integer, how many times as much energy does a Richter magnitude 3.5 earthquake release as a magnitude 2.5 earthquake?",32
toss-up,math,Short Answer,"20) Math – Short Answer If a $100 item is reduced by 30% and then the reduced price is reduced again by 40%, then, in dollars, what is the final price?",42
bonus,math,Short Answer,"20) Math – Short Answer To the nearest integer, what is the length of the hypotenuse of a right triangle with legs of length 11 and 15?","19
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Multiple Choice,1) Math – Multiple Choice Which of the following is a negation of the statement “Some cats are cute”? W) All cats are cute X) No cats are cute Y) Not all cats are cute Z) Some cats are not cute,X) NO CATS ARE CUTE
bonus,math,Short Answer,1) Math – Short Answer What is 173 times 147?,"25,431
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Short Answer,"2) Energy – Short Answer From 1973 to 2008, the percentage of the world's electricity produced by natural gas almost doubled. In the same period, the percentage produced by another fuel source dropped from 25% to 5%. What fuel source is this?",OIL
bonus,energy,Multiple Choice,2) Energy – Multiple Choice Which of the following CANNOT be readily used as a source of energy in a fuel cell? W) Methane X) Oxygen Y) Methanol Z) Hydrogen,X) OXYGEN
toss-up,math,Short Answer,6) Math – Short Answer For what value of x does the graph of the function y = 4x + 20 cross the x-axis?,–5
bonus,math,Short Answer,6) Math – Short Answer It took Marcos 3 hours to travel down the Amazon River by boat from his village to his friend’s village. It took him 5 hours to travel up the river on his return trip. How many hours would it take him to make this same journey in still water?,"3.75 (ACCEPT: 3¾, 15/4)"
toss-up,energy,Short Answer,7) Energy – Short Answer What technology incorporates both electricity production and use of waste thermal energy to provide system efficiencies above 70%?,"COMBINED HEAT AND POWER (ACCEPT: CHP, COGENERATION)"
bonus,energy,Short Answer,7) Energy – Short Answer The super-heavy synthetic element 116 was jointly discovered by scientists in Russia and a US Department of Energy National Laboratory. What is the IUPAC name for this element?,"LIVERMORIUM
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Multiple Choice,9) Energy – Multiple Choice Six tidal barrage power plants are currently operating throughout the world. Which of the following nations leads the world in installed tidal energy capacity? W) South Korea X) China Y) Canada Z) Russia,W) SOUTH KOREA
bonus,energy,Multiple Choice,9) Energy – Multiple Choice Which of the following changes will NOT increase the efficiency of a dehumidifier? W) A higher temperature evaporator X) Higher surface area of the coils Y) A higher coefficient of performance on the compressor Z) Better fan bearings,"W) A HIGHER TEMPERATURE EVAPORATOR
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,10) Math – Short Answer Identify all of the following three numbers that are in the domain of the function f of x equals the square root of open parenthesis 36 – x2 close parenthesis: 1) –7; 2) –6; 3) –5.,2 and 3 (ACCEPT: –6 and –5)
bonus,math,Short Answer,"10) Math – Short Answer For what temperature, in degrees Fahrenheit to the nearest integer, is the Celsius temperature numerically twice the Fahrenheit temperature?",–12
toss-up,chemistry,Short Answer,"12) Physical Science – Short Answer In electrochemistry, what electrode potential is defined as 0 volts?",HYDROGEN ELECTRODE (ACCEPT: STANDARD HYDROGEN ELECTRODE or HYDROGEN)
toss-up,math,Short Answer,"15) Math – Short Answer Triangle ABC has all interior angles with integer degree measures. If the measure of angle A is 83 degrees, what is the largest possible degree measure of angle B?",96
bonus,math,Short Answer,"15) Math – Short Answer Given the linear function f of x = –3x + b, if f of 2 = 7, what is f of 10?","–17
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,19) Math – Short Answer What is 712?,5041
bonus,math,Short Answer,"19) Math – Short Answer A right circular cone has volume 72 cubic inches. A second cone has 3 times the radius and one-sixth the height of the first cone. In cubic inches, what is the volume of the second cone?","108
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Short Answer,"1) Energy – Short Answer What alkaline earth metal, commonly used in X-ray-transparent windows, is lighter than aluminum but stiffer than steel?",BERYLLIUM
bonus,energy,Short Answer,"1) Energy – Short Answer Oak Ridge National Lab operates the High Flux Isotope Reactor, which can produce rare radioisotopes. What particles have a high flux in this reactor?","NEUTRONS
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,"2) Math – Short Answer What is the largest quotient that can be formed using two of the following five numbers: –40, –2, 1, 8, 16?",20
bonus,math,Short Answer,"2) Math – Short Answer What is the y-intercept of the line that contains the points (-2, 3) and (3, 10)?","5.8 (ACCEPT: 29/5, 5 4/5)"
toss-up,energy,Multiple Choice,4) Life Science – Multiple Choice The reactions that the cell uses to harvest energy from sugars can be classified as what? W) Decomposition X) Synthesis Y) Redox [REE-dox] Z) Combustion,Y) REDOX
bonus,biology,Short Answer,"4) Life Science – Short Answer In a biology lab, what machine is used to sterilize glassware via the application of very hot steam?",AUTOCLAVE
toss-up,math,Short Answer,"5) Math – Short Answer Joe’s average score on his first four exams was 80. If his average after the fifth exam was 82, what did he score on the fifth test?",90
bonus,math,Short Answer,5) Math – Short Answer What is the coefficient of the ab2 term in the binomial expansion of open parenthesis 5a – 6b close parenthesis cubed?,"540
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Short Answer,8) Energy – Short Answer What is the most common type of geothermal plant?,FLASH STEAM
bonus,energy,Multiple Choice,"8) Energy – Multiple Choice The capacity factor for a power plant is defined as the amount of electric energy generated over a given time period, divided by the amount of electric energy that would have been generated had that plant operated at 100% for the entire time period. Which of the following would be a typical capacity factor for a solar photovoltaic [photo-vawl-TAY-ik] power plant? W) 5% X) 20% Y) 50% Z) 80%",X) 20%
toss-up,math,Short Answer,9) Math – Short Answer What are the smallest and largest integers that satisfy the following absolute value inequality: the absolute value of open parenthesis x – 5 close parenthesis is less than 3?,3 AND 7 (MUST GIVE BOTH ANSWERS)
bonus,math,Short Answer,"9) Math – Short Answer How many different (that is, non-congruent) isosceles triangles that are not equilateral have the length of each side being an integer between 3 and 6 inclusive?","11
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Short Answer,"10) Energy – Short Answer In the water-gas shift reaction, what gas reacts with water?",CARBON MONOXIDE
bonus,energy,Short Answer,10) Energy – Short Answer The radioisotope thermoelectric generators used by NASA to power spacecraft primarily use what radioactive element as a heat source?,PLUTONIUM
toss-up,math,Short Answer,18) Math – Short Answer What is the perimeter of a right triangle with legs of length 1 and 3?,4 + √10
bonus,math,Short Answer,18) Math – Short Answer A 5-digit palindrome has 3 different digits and is divisible by 3. What is the largest such number?,"98,589"
toss-up,math,Short Answer,20) Math – Short Answer What is the slope of the line with equation 3x + 7y = –21?,–3/7
bonus,math,Short Answer,"20) Math – Short Answer In a particular year, if April 17 is on a Friday, on what day of the week is October 29?",THURSDAY
toss-up,energy,Short Answer,1) Energy – Short Answer What hydrocarbon is the primary constituent of natural gas?,METHANE
bonus,energy,Short Answer,"1) Energy – Short Answer What would be the cost, in cents, if you use a 2000-watt heater for two hours and electricity costs 10 cents per kilowatt-hour?","40
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Multiple Choice,"3) Math – Multiple Choice What is the sum, in degrees, of the interior angles of a regular heptagon? W) 540 X) 720 Y) 900 Z) 1080",Y) 900
bonus,math,Short Answer,"3) Math – Short Answer The numerals for the counting numbers are written in order, beginning with 1. What is the 125th digit written?","7
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Short Answer,4) Physical Science – Short Answer A 500-gram object is moving at 4 meters per second. What is its kinetic energy in joules [jools]?,4
bonus,energy,Multiple Choice,4) Physical Science – Multiple Choice Which of the following elements has the highest first ionization [eye-on-ih-ZAY-shun] energy? W) Calcium X) Phosphorus Y) Oxygen Z) Aluminum,Y) OXYGEN
toss-up,math,Multiple Choice,5) Math – Multiple Choice Given that the function f of x has a zero at x = 6. At what x-value must f of open parenthesis x + 2 close parenthesis have a zero? W) 3 X) 4 Y) 8 Z) 12,X) 4
bonus,math,Short Answer,"5) Math – Short Answer Len takes 12 hours to clean a 40 by 50 room. Ben can clean the same room in 10 hours. To the nearest tenth of an hour, how long would it take them if they worked together?","5.5
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Short Answer,"7) Energy – Short Answer By definition, what is the octane number of heptane?",ZERO
bonus,energy,Multiple Choice,"7) Energy – Multiple Choice If a wind turbine produces 400 kilowatts of electrical power at one wind speed, how much power, in kilowatts, will be produced if the wind speed decreases to one-half the original value? W) 20 X) 50 Y) 100 Z) 200","X) 50
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,8) Math – Short Answer How many faces does a quadrilateral prism have?,6
bonus,math,Short Answer,"8) Math – Short Answer A sequence has the property that every term starting with the third is the sum of the previous two terms. If the tenth term is 157 and the eighth term is 60, what is the sixth term?",23
toss-up,energy,Multiple Choice,12) Energy – Multiple Choice Which of the following is closest to the percentage of the total power radiated by the Sun incident on the Earth's atmosphere that is reflected or scattered before reaching the surface of the planet? W) 12 X) 23 Y) 34 Z) 45,Y) 34
bonus,energy,Short Answer,12) Energy – Short Answer Rank the following types of vehicles in terms of increasing reliance on a battery to drive the vehicle: 1) Plug-in hybrid; 2) Clean diesel; 3) All-electric; 4) Hybrid,"2, 4, 1, 3 (ACCEPT: CLEAN DIESEL, HYBRID, PLUG-IN HYBRID, ALL-ELECTRIC)"
toss-up,math,Short Answer,13) Math – Short Answer The product of 7 consecutive integers is 0. What is the smallest possible value of one of them?,–6
bonus,math,Short Answer,13) Math – Short Answer What is the area of a regular hexagon with sides of length 4?,"24√3
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,19) Math – Short Answer Which of the quadrants is NOT intersected by the line with equation y = –2x + 3?,3 (ACCEPT: THIRD)
bonus,math,Short Answer,"19) Math – Short Answer To the nearest unit, what is the volume of a sphere with radius 3?","113
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Multiple Choice,1) Energy – Multiple Choice Nuclear power plants generate energy by which of the following processes? W) Fission X) Fusion Y) Formation Z) Fracture,W) FISSION
bonus,energy,Multiple Choice,1) Energy – Multiple Choice Most of today's plug-in hybrid and all-electric vehicles incorporate a common battery. This battery is also onboard the Boeing 787 Dreamliner. What type is this battery? W) Lithium-ion X) Lead-acid Y) Nickel-metal hydride Z) Nickel cadmium,"W) LITHIUM-ION
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Multiple Choice,4) Math – Multiple Choice Which of the following types of triangles is impossible? W) Acute equilateral X) Obtuse equilateral Y) Obtuse isosceles Z) Right scalene,X) OBTUSE EQUILATERAL
bonus,math,Short Answer,4) Math – Short Answer What are the coordinates of the vertex of the parabola with equation y = –3x2 + 4x – 10?,"(2/3, –26/3) (ACCEPT: (2/3, –8 2/3))"
toss-up,math,Multiple Choice,7) Math – Multiple Choice A coin is flipped 6 times. The first five flips all result in heads. Which of the following statements is true about the result of the sixth flip? W) It is more likely to be heads X) It is more likely to be tails Y) It is equally likely to be heads or tails Z) The probability of the result being tails is 5/6,Y) IT IS EQUALLY LIKELY TO BE HEADS OR TAILS
bonus,math,Short Answer,7) Math – Short Answer A regular polygon with 15 sides has exterior angles of what degree measure?,"24
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,physics,Short Answer,8) Physical Science – Short Answer The liquefaction of what gas was recognized with the 1913 Nobel Prize in Physics?,HELIUM
toss-up,energy,Multiple Choice,11) Energy – Multiple Choice Which of the following is closest to the percentage of the electricity in the United States that is generated from wind? W) 4 X) 10 Y) 16 Z) 22,W) 4
bonus,energy,Multiple Choice,"11) Energy – Multiple Choice Scientists from two DOE labs, Pacific Northwest and Oak Ridge National Labs, have developed new methods for extracting uranium from seawater. Which of the following would this be used to fuel? W) Fission reactors X) Fusion reactors Y) Chemical reactors Z) Hybrid reactors","W) FISSION REACTORS
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,12) Math – Short Answer What is the adjective for the type of formal reasoning that leads to a conclusion that logically follows from a set of premises?,DEDUCTIVE (DO NOT ACCEPT: DEDUCTION)
bonus,math,Short Answer,"12) Math – Short Answer Kaye makes widgets at a rate of 20 per hour and Jay makes them at a rate of 15 per hour. If Jay has a one-hour head start and they both then work continuously, after how many hours from the time she starts will Kaye have made the same number of widgets as Jay?",3
toss-up,energy,Multiple Choice,13) Physical Science – Multiple Choice What is the name for the SI derived unit for energy? W) Erg X) Electron-volt Y) Watt Z) Joule [jool],Z) JOULE
toss-up,energy,Multiple Choice,16) Energy – Multiple Choice Which of the following percentages is closest to the typical efficiency of a steam turbine for electricity generation? W) 10 X) 35 Y) 60 Z) 85,X) 35
bonus,energy,Short Answer,16) Energy – Short Answer What does the acronym OPEC stand for?,ORGANIZATION OF PETROLEUM EXPORTING COUNTRIES
toss-up,math,Short Answer,17) Math – Short Answer Simplify the fraction with numerator x5 y6 and denominator x –3 y5.,x8 y
bonus,math,Short Answer,"17) Math – Short Answer A manufacturing facility says that a 100% rate at its packing station is 200 shelves per day. Last week, Jordan’s rates for 5 days were 50%, 60%, 45%, 70%, and 75%. What was the average daily number of shelves packed by Jordan during those 5 days?","120
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,22) Math – Short Answer Express the fraction 11/8 as a decimal.,1.375
bonus,math,Short Answer,22) Math – Short Answer What is the largest prime factor of 1035?,23
toss-up,energy,Multiple Choice,1) Energy – Multiple Choice What state has the largest geothermal power generation capacity? W) Arizona X) California Y) Idaho Z) Utah,X) CALIFORNIA
bonus,energy,Short Answer,1) Energy – Short Answer What derived SI unit is used to measure electric potential?,"VOLT
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,3) Math – Short Answer What is the area of a circle inscribed in a square of side 14?,49π
bonus,math,Short Answer,3) Math – Short Answer What is 3/7 divided by 8/21 divided by 15/4?,"3/10 (ACCEPT: 0.3)
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,7) Math – Short Answer What is 503?,"125,000"
bonus,math,Short Answer,7) Math – Short Answer What is the maximum possible number of intersection points of a circle and a rectangle?,"8
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Multiple Choice,10) Math – Multiple Choice For which of the following x-values is x3 greater than or equal to x2? W) –2 X) –½ Y) ½ Z) 2,Z) 2
bonus,math,Short Answer,10) Math – Short Answer Express the following in scientific notation rounded to two significant digits: the fraction with numerator 4.5 × 105 and denominator 3.5 × 10–2.,1.3 × 107
toss-up,energy,Multiple Choice,11) Energy – Multiple Choice Commercially available photovoltaic [photo-vawl-TAY-ik] cells are primarily made of what element? W) Germanium [jer-MAYN-ee-um] X) Arsenic Y) Carbon Z) Silicon,Z) SILICON
bonus,energy,Short Answer,11) Energy – Short Answer What nonrenewable fuel source represents the largest percentage of US energy consumption?,"PETROLEUM (ACCEPT: OIL)
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,14) Math – Short Answer Increasing a number by 200% is equivalent to multiplying it by what number?,3
bonus,math,Short Answer,14) Math – Short Answer Solve the following equation for x: x2 – 7x – 120 = 0.,"-8, 15 (must give both answers)"
toss-up,energy,Multiple Choice,18) Energy – Multiple Choice Which industrial process is used to separate the many components of crude oil into useful petroleum products? W) Absorption X) Membrane diffusion Y) Refrigeration Z) Distillation,Z) DISTILLATION
bonus,energy,Multiple Choice,18) Energy – Multiple Choice Government agencies and utilities offer various incentives to encourage people to improve the energy efficiency of buildings and vehicles. Which of the following is NOT a typical incentive? W) Tax credits X) Loans or loan guarantees Y) Hardware installation Z) Rebates,Y) HARDWARE INSTALLATION
toss-up,math,Short Answer,"23) Math – Short Answer Giving your answer as a decimal, what is the sum of the three numbers 2, 2/4, and 2/8?",2.75
bonus,math,Short Answer,23) Math – Short Answer Simplify the fraction with numerator 1 – √3 and denominator 1 + √3.,–2 + √3 (ACCEPT: √3 – 2)
toss-up,math,Short Answer,2) Math – Short Answer What is 83 – 19 + 17?,81
bonus,math,Short Answer,"2) Math – Short Answer A triangle has two exterior angles that have degree measures of 115 and 120, respectively. What is the degree measure of their common remote interior angle?",55
toss-up,energy,Multiple Choice,3) Life Science – Multiple Choice The breakdown of molecules to obtain energy is which of the following? W) Catabolism [cah-TAB-eh-lizm] X) Anabolism [an-AB-beh-lizm] Y) Respiration Z) Transpiration,W) CATABOLISM
toss-up,energy,Multiple Choice,6) Energy – Multiple Choice What role is fission-based nuclear power used for in the energy production and distribution grid? W) Baseload X) Peak Y) Arbitrage Z) Peak shaving,W) BASELOAD
bonus,energy,Short Answer,6) Energy – Short Answer Increasing the amount of thermal energy contained in an object also increases what quantifiable property of the object?,TEMPERATURE
toss-up,math,Short Answer,7) Math – Short Answer Simplify the following expression: a7 times a5,a12
bonus,math,Short Answer,"7) Math – Short Answer At the start of school, Jack scored 63 on his pre-test. At the end of the first week, he scored 68 on his post-test. Rounded to the nearest tenth of a percent, what is his percent increase?","7.9
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Multiple Choice,8) Energy – Multiple Choice In which of the following states would you not expect to find a coal mine? W) Nevada X) Illinois Y) Louisiana Z) North Dakota,W) NEVADA
bonus,energy,Multiple Choice,8) Energy – Multiple Choice Coal is primarily used to generate electricity. Which of the following is the second largest use of coal? W) Heating homes X) Running factories Y) Fueling trains Z) Smelting and steelmaking,Z) SMELTING AND STEELMAKING
toss-up,math,Short Answer,10) Math – Short Answer What is the area of a right triangle with legs of length 4 and 7?,14
bonus,math,Short Answer,"10) Math – Short Answer A cell phone plan costs a fixed rate per month plus a charge per text message. One month, Sarah had 200 texts and her total bill was $34. The next month, she had 500 texts and her total bill was $52. In dollars, what is the fixed rate per month?",22
toss-up,energy,Multiple Choice,16) Energy – Multiple Choice Which of the following is not a form of energy? W) Petroleum X) Nuclear Y) Chemical Z) Thermal,W) PETROLEUM
bonus,energy,Short Answer,16) Energy – Short Answer Identify all of the following four products that can be produced from the processing and refinement of petroleum: 1) Asphalt; 2) Paraffin; 3) Kerosene; 4) Propane.,"ALL (1, 2, 3, 4)"
bonus,energy,Short Answer,"17) Physical Science – Short Answer If the speed of an object is tripled, by what factor is the kinetic energy multiplied?","NINE
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,18) Math – Short Answer Find the value of the following expression: open parenthesis 492 + 49 close parenthesis divided by 49.,50
bonus,math,Short Answer,"18) Math – Short Answer What is the slope of the line through (–3, 3) and (6, –4)?",–7/9
bonus,energy,Multiple Choice,19) Physical Science – Multiple Choice What physical quantity can be defined as the sum of all the possible microstates of a system? W) Free energy X) Enthalpy [EN-thul-pee] Y) Entropy [EN-troh-pee] Z) Heat,"Y) ENTROPY
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,"22) Math – Short Answer A triangle has two angles measuring 22 and 67 degrees, respectively. What is the degree measure of the third angle?",91
bonus,math,Short Answer,22) Math – Short Answer Two dice are rolled. What is the probability that the product of the two numbers rolled is prime?,1/6
toss-up,energy,Multiple Choice,2) Energy – Multiple Choice Which of the following is not a primary energy source? W) Electricity X) Solar radiation Y) Wind Z) Coal,W) ELECTRICITY
bonus,energy,Multiple Choice,2) Energy – Multiple Choice Burning fossil fuels is the primary source of emissions for which of the following greenhouse gases? W) Carbon dioxide X) Fluorinate [FLOOR-in-ate] gases Y) Methane Z) Nitrous oxide,W) CARBON DIOXIDE
toss-up,math,Short Answer,"4) Math – Short Answer Calculate the product of the following 3 numbers: 200, 300, and 100.","6,000,000"
bonus,math,Multiple Choice,4) Math – Multiple Choice What is the equation of the axis of symmetry for the graph of x = y2 + 8y + 30? W) y = –15 X) y = –4 Y) y = 4 Z) y = 15,X) y = –4
toss-up,math,Short Answer,7) Math – Short Answer What is the product of the two binomials x + 2 and x – 5?,x2 – 3x – 10
bonus,math,Short Answer,"7) Math – Short Answer During football season, a player catches passes for 471 yards and averages 12.7 yards per catch, rounded to the nearest tenth. How many catches did the player make?","37
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Multiple Choice,8) Energy – Multiple Choice Which of the following crops is NOT used widely in the western hemisphere as a biofuel feedstock? W) Sugarcane X) Corn Y) Wheat Z) Soybeans,Y) WHEAT
bonus,energy,Short Answer,8) Energy – Short Answer The power plant at Hoover Dam harvests what type of energy?,"HYDROPOWER (ACCEPT: HYDRO, DO NOT ACCEPT: HYDROELECTRIC)"
toss-up,math,Short Answer,"12) Math – Short Answer In a right triangle, one leg has length 15 and one angle measures 45 degrees. What is the length of the hypotenuse?",15√2
bonus,math,Multiple Choice,12) Math – Multiple Choice Which of the following represents the best price per item? W) Buy one and get a second one half off X) Buy 2 and get 30% off each Y) Buy 2 and get a third one free Z) Buy 3 and get 20% off each,Y) BUY 2 AND GET A THIRD ONE FREE
toss-up,math,Short Answer,16) Math – Short Answer What is 4 times 8 minus 5 times 6?,2
bonus,math,Short Answer,16) Math – Short Answer What is the cube of open parenthesis a3 + 4b close parenthesis when a = 2 and b = –3?,–64
toss-up,energy,Multiple Choice,"18) Energy – Multiple Choice When a ball rolls downhill, the gravitational potential energy of the ball is transformed into what type of energy? W) Kinetic X) Thermal Y) Chemical Z) Atomic",W) KINETIC
bonus,energy,Multiple Choice,18) Energy – Multiple Choice Which of the following energy sources emits the greatest amount of mercury into the atmosphere when it is combusted? W) Oil X) Natural gas Y) Coal Z) Kerosene,Y) COAL
toss-up,math,Short Answer,"23) Math – Short Answer If function f has an inverse and if f of –3 equals 5, what is f inverse of 5?",–3
bonus,math,Short Answer,23) Math – Short Answer A prism with 30 edges has how many vertices?,20
toss-up,energy,Multiple Choice,2) Energy – Multiple Choice Which of the following types of fossil fuels is created primarily from the remains of vegetation? W) Oil X) Coal Y) Natural Gas Z) Heavy Oil,X) COAL
bonus,energy,Short Answer,2) Energy – Short Answer Identify all of the following four units that are commonly used for energy: 1) Kilowatt-hour; 2) British thermal unit; 3) Joule [jool]; 4) Horsepower.,"1, 2, 3"
toss-up,math,Multiple Choice,"4) Math – Multiple Choice A right triangle has one angle that measures 52 degrees. In degrees, what is the measure of the third angle of this triangle? W) 38 X) 48 Y) 128 Z) 142",W) 38
bonus,math,Short Answer,4) Math – Short Answer The base-six numeral four-four-three is equivalent to what in base 10?,171
