prompt,completion
Generate a Biology multiple choice question:,The conversion of pyruvate to Acetyl Co-A occurs: W) in the cytosol X) in the ER Y) in the mitochondrion Z) in the lysosome
Generate a Math short answer question:,What is the degree of the following monomial: –6x2y4z3
Generate a Math short answer question:,Find the number of sides in a regular polygon if each interior angle measures 176 degrees:
Generate a Earth science multiple choice question:,Which of the following is LEAST accurate regarding paleontology: W) endothermic mammals thrived during the Cenozoic Era X) the fossil records of birds is poor because of their thin bones and lack of teeth Y) the mastodon was a Proboscidian mammal of the Cenozoic Era Z) trilobites are an important index fossil of the Mesozoic Era
Generate a Earth science multiple choice question:,"Deposited by subglacial streams, ridges of sand and gravel that form beneath the ablation zone of a glacier are called: W) cirques X) eskers Y) horns Z) kames"
Generate a Physics multiple choice question:,"Which of the following is generally NOT true regarding diffraction of light: W) when white light is passed through a diffraction grating, shorter wavelengths are diffracted the most X) diffraction is wavelength dependent Y) if laser light is passed through a diffraction grating it will produce an interference pattern as a series of dots on a screen Z) white light passing through a diffraction grating is spread into a rainbow of colors"
Generate a Physics short answer question:,"A 300-newton box is placed on an inclined plane that makes a 45º angle with the horizontal. Find the component of the box’s weight parallel to the plane’s surface, in newtons to the nearest whole number:"
Generate a Chemistry multiple choice question:,Dalton’s gas law applies primarily to: W) non-ideal gases X) gas mixtures Y) density of gases Z) molar mass of gas
Generate a Chemistry multiple choice question:,The oxidation number of oxygen is –1 in: W) normal oxides X) peroxides Y) superoxides Z) lithium oxide
Generate a Biology multiple choice question:,"According to the 3 domain system of classification with the 3 domains being, Archaea, Bacteria and Eukarya, which of the following would be LEAST likely to belong to the domain Bacteria: W) chlamydia X) spirochetes (read as: spy-row-keets) Y) gram positive bacteria Z) non-nucleated thermophiles"
Generate a Biology multiple choice question:,In which of the following does the RUBISCO enzyme play a central role: W) Photosystem One X) Electron Transport Y) Photosystem Two Z) Calvin Cycle
Generate a Math short answer question:,"Giving your answer in simplest radical form, rationalize the denominator 1 of the following expression: (3− x) 3+ x"
Generate a Math short answer question:,"Solve the following equation for x over the set of complex numbers, giving your answer in simplest form: x2 – 10x + 34 = 0"
Generate a Earth science multiple choice question:,A hurricane originating in the Eastern tropical Atlantic is driven westward by: W) the intertropical convergence zone X) the prevailing westerlies Y) the easterly trade winds Z) the doldrums
Generate a Earth science multiple choice question:,Which of the following is NOT a silicate: W) mica X) galena Y) olivine Z) potassium feldspar
Generate a Physics short answer question:,The lens-maker’s equation relates the focal length of a glass lens to the radii of curvature of the lens’s two surfaces and what other property of the lens?
Generate a Physics short answer question:,"Green light has a wavelength of 500 nanometers. What is its associated frequency, in hertz?"
Generate a Chemistry short answer question:,"A molecule that contains 4 carbon-hydrogen single bonds and one carbon-carbon double bond contains how many sigma and pi bonds, respectively?"
Generate a Chemistry short answer question:,What is the systematic IUPAC name for the compound RbClO ? 4
Generate a Biology short answer question:,"Animal tissues are generally divided into four main types. If three of them are, connective, nervous, and muscle, what is the fourth tissue?"
Generate a Biology short answer question:,"Order the following 4 choices from the SMALLEST to the LARGEST, assuming average size for each: erythrocyte; mitochondrion; polio virus; macrophage"
Generate a Chemistry short answer question:,What is the pH of a solution having a hydroxide ion concentration of 1 × 10–5 M?
Generate a Chemistry short answer question:,"At standard temperature and pressure, if a sample of argon has a volume of 67 liters, how many moles of argon are in the sample, to the nearest whole number?"
Generate a Math short answer question:,x y 1) MATH Short Answer What is the minimum possible value of 2 + 2 (read as: 2 to the power of x plus 2 to the power of y) if x + y = 2?
Generate a Math short answer question:,1 1 1 1 1) MATH Short Answer What is the value of the infinite sum: - + - +… (read as: 1 over 2 2! 3! 4! 5! factorial minus 1 over 3 factorial plus 1 over 4 factorial minus 1 over 5 factorial and so on)? 1
Generate a Biology multiple choice question:,Which of the following is a laboratory technique used to generate many copies of a gene? W) Polymerase (read as: poh-LIM-eh-rayz) chain reaction X) Gel electrophoresis (read as: i-lehk-trōe-foh-REE-sis) Y) Southern blot Z) Titration
Generate a Biology short answer question:,"By name or number, identify all of the following four organisms that are endangered pinnipeds: 1) bearded seal, 2) Hawaiian monk seal, 3) ringed seal, 4) spotted seal."
Generate a Energy multiple choice question:,"Biodiesel generally outperforms regular petro diesel in all of the following categories, EXCEPT: W) Cetane rating X) Flash point Y) Calorific value Z) Sulfur content"
Generate a Energy short answer question:,"The backup controls for a solar cell operate on a 4-volt lithium ion battery with resistance of 20 ohms and an initial capacity of 3000 milliampere hours. In watt hours, what is the electrical energy required to recharge the battery?"
Generate a Physics short answer question:,"A 4-kilogram ball is tossed at 5 meters per second. How fast, in meters per second, must a 1-kilogram ball be thrown to have the same kinetic energy?"
Generate a Physics short answer question:,"A jogger is moving at a speed of 4 meters per second. When chased by a big dog, she accelerates at 1 meter per second squared for 4 seconds. How far has she travelled in meters since she started accelerating?"
Generate a Biology short answer question:,"What is the term for the pastelike substance, which is also the least soluble nitrogenous waste, excreted by birds, reptiles, and insects?"
Generate a Biology short answer question:,What is the scientific name of the only member of the family Eschrichtiidae (read as: esh-rik-TIE-uh-dee)?
Generate a Math short answer question:,Consider the polar equation r = sin(2θ) (read as: r equals the sine of 2 theta). Its graph looks like a rose. How many petals would there be on the “rose” in this graph?
Generate a Math short answer question:,"Assuming that the probability of A is 0.3, the probability of B is 0.3, and the probability of A union B is 0.5, providing your answers as decimals to the nearest tenth, what are the probabilities, respectively, of A intersection B and the complement of the quantity A union B?"
Generate a Chemistry multiple choice question:,In which of the following compounds does nitrogen have an unpaired electron? W) Ammonia X) Nitrous oxide Y) Sodium nitrate Z) Nitric oxide
Generate a Chemistry short answer question:,"A saturated solution of calcium hydroxide is titrated with aqueous hydrochloric acid. Using proper chemical nomenclature and indicating the state of each substance, such as solid, liquid, aqueous, or gas, what is the balanced molecular equation for this reaction?"
Generate a Chemistry multiple choice question:,Which of the following is NOT a colligative property of a solution? W) Freezing point depression X) Osmotic pressure Y) Percent by mass Z) Boiling point elevation
Generate a Chemistry short answer question:,How many liters of 2 molar sulfuric acid are required to titrate three liters of 0.4 molar nitric acid?
Generate a Biology multiple choice question:,"Which of the following is NOT true about snowy plovers? W) When fighting, they may grab their enemy’s tail with their bills X) They nest on sandy beaches Y) They are endemic to New Zealand Z) Males nurture their chicks"
Generate a Biology short answer question:,"What protein, released by cells in the ileum and colon, appears to inhibit appetite in humans?"
Generate a Chemistry short answer question:,"When the equation O + C H → (read as: yields) CO + H O 2 6 14 2 2 is balanced with the lowest whole-number coefficients, what is the coefficient of O ? 2"
Generate a Chemistry short answer question:,"Given the reaction: 4PH → (read as: yields) P + 6H , if 3(aq) 4(g) 2(g) 0.0048 moles of PH are consumed each second of the experiment, providing your answer to 3 the nearest ten thousandth, what is the rate of production in moles per second of P ? 4"
Generate a Math short answer question:,3 sinx (cid:0) 2 12) MATH Short Answer Evaluate lim (read as: the limit as x approaches pi over x→π/3 π x (cid:0) 3 three of open parenthesis sine of x [pause] minus the square root of 3 over 2 close parenthesis over open parenthesis x minus pi over 3 close parenthesis).
Generate a Math short answer question:,"If the volume of oil leaked into the ocean from a damaged drilling platform is given by the equation V =0.05πr2, where r is the radius of the spill, use differentials to estimate the error in cubic meters of the volume if there is a possible error of 0.5 meters in the radius measurement of a spill of radius 100/π meters."
Generate a Physics short answer question:,"If in a 2-piston hydraulic device, a 100-newton force is applied to a piston with an area of 0.01 square meters, what will be the resulting force, in newtons, on a piston with an area of 0.5 square meters?"
Generate a Physics short answer question:,What is the centripetal acceleration in meters per second squared of a point on a bicycle tire of radius 0.81 meters when the bike is moving at 9 meters per second?
Generate a Biology short answer question:,"What is the general term for scientific research that looks for a useful application, process, or product in nature?"
Generate a Biology short answer question:,"What is the term in immunobiology that describes a lack of reaction by the body’s defense mechanisms for foreign substances, and consists of a direct induction of peripheral lymphocyte tolerance?"
Generate a Chemistry multiple choice question:,Which of the following species is NOT considered an electrolyte? W) Sodium hydroxide X) Hydrogen chloride Y) Aluminum nitrate Z) Diethyl ether
Generate a Chemistry short answer question:,"By name or number, identify all of the following four substances that would show a positive result in a Benedict’s test: 1) simple sugars, 2) starches, 3) proteins, 4) lipids."
Generate a Physics short answer question:,How many layers of doped silicon are needed to make a transistor?
Generate a Physics short answer question:,"A thin copper rod 1 meter long has a mass of 0.05 kilograms and is in a magnetic field of 0.10 teslas. Given 10 meters per second squared for g, what is the minimum current in amperes needed in the rod for the magnetic force to cancel the weight of the rod?"
Generate a Physics multiple choice question:,"On a game show, contestants spin a large wheel to determine the prize associated with correct answers. How should a contestant apply force to spin the wheel as rapidly as possible? W) Tangential to the rim of the wheel X) At a 45 degree angle to the rim of the wheel Y) Away from the center of the wheel Z) Towards the center of the wheel"
Generate a Physics short answer question:,"Nitrogen molecules of mass 4.65 x 1026 kilograms are contained − in a cube with sides that have an area of 6 x 104 square meters. If 5.0 x 1023 molecules collide − head on elastically each second with one wall at a speed of 300 meters per second, what is the pressure exerted on the wall to the nearest kilopascal?"
Generate a Energy short answer question:,A 5-kilogram mass is moving along a frictionless surface with a velocity of 10 meters per second toward a horizontal spring with a spring constant of 500 newtons per meter. What is the maximum compression of the spring in meters?
Generate a Energy multiple choice question:,Which of the following is NOT an example of smart grid technology? W) Ground-source heat pumps X) Advanced metering infrastructure Y) Conservation voltage reduction Z) Substation automation
Generate a Math multiple choice question:,"The last two digits, in order, of a positive integer n are 1 and 8. Which of the following statements about n can be TRUE? W) n is divisible by 7 X) n is divisible by 5 Y) n is divisible by 4 Z) n is a perfect square"
Generate a Math short answer question:,"In simplest radical form, what is the radius of the circle tangent to the sides of an equilateral triangle with a side length of 2? 3"
Generate a Physics multiple choice question:,"If g and g are the accelerations due to gravity on the surfaces E M of Earth and the Moon respectively, and if Millikan’s oil drop experiment could be performed on the two surfaces, the ratio of the electronic charge on the Moon to the electronic charge on the Earth would be which of the following? W) g /g E M X) 1 Y) g /g M E Z) (g /g )2 M E"
Generate a Physics short answer question:,"Providing your answer in scientific notation with two significant digits, how much energy in joules is required to heat a clay pizza baking stone with mass of 4.8 kilograms and a specific heat of 860 joules per kilogram Kelvin from 25° Celsius to 235° Celsius?"
Generate a Energy short answer question:,Which hydroelectric dam has the greatest power capacity in the world?
Generate a Energy short answer question:,"Two men tried to lift a 95-kilogram sack of grain to a storage room on the second floor using ropes. Just as the sack reached the second floor, the rope broke and the sack dropped and hit the ground. The kinetic energy of the sack was 3500 joules just before it struck the ground. Given g as 9.8 meters per second squared and providing your answer to the nearest meter, what was the height of the second floor?"
Generate a Biology multiple choice question:,"Of the seven species of sea turtles, six are found in U.S. waters. Which of the following species of sea turtles is NOT found in U.S. waters? W) Flatback X) Green Y) Kemp’s ridley Z) Leatherback"
Generate a Biology short answer question:,"By name or number, identify all of the following four types of fishing gear that are known to inadvertently catch large numbers of sea turtles: 1) gillnets, 2) longlines, 3) pound nets, 4) trawls."
Generate a Chemistry short answer question:,"The following gaseous phase reaction is in equilibrium: CO + 2H ⇔ (read as: is in equilibrium with) CH OH. If you decrease the volume of the 2 3 container holding the gas, what happens to the equilibrium?"
Generate a Chemistry short answer question:,"By name or number, identify all of the following four motions that describe how atoms in a methylene group can vibrate: 1) rocking, 2) symmetrical stretching, 3) see-sawing, 4) twisting."
Generate a Math short answer question:,At what value of x is the tangent to the curve f(x) = 3x2 – 2x + 1 a horizontal line?
Generate a Math short answer question:,"If f(x) = x (read as: f of x equals the square root of x) over the domain of all nonnegative real numbers and if g(x) = cosx over the domain of closed interval [-π, π], then what is the domain of f composed with g?"
Generate a Physics multiple choice question:,Which of the following is TRUE about the electric field just outside the surface of a charged spherical conductor? W) It is zero X) It is infinitely large Y) It is directed perpendicularly to the surface Z) It is directed parallel to the surface
Generate a Physics short answer question:,"A projectile is launched over level ground with a velocity of 100 meters per second at an angle of 30 degrees to the horizontal. Given that the acceleration due to gravity is 10 meters per second squared, what will be the horizontal range of this projectile rounded to the nearest meter?"
Generate a Biology multiple choice question:,Which of the following processes would leukocytes employ to destroy bacteria in interstitial spaces? W) Pinocytosis (read as: pin-oh-si-TŌE-sis) X) Phagocytosis (read as: fahg-oh-si-TŌE-sis) Y) Erythrophagocytosis (read as: i-rith-roh-fahg-oh-si-TŌE-sis) Z) Efferocytosis (read as: ehf-eh-roh- si-TŌE-sis)
Generate a Biology short answer question:,Which pluripotent cell in eukaryotic animals is similar to meristematic cells in higher plants?
Generate a Chemistry multiple choice question:,Which of the following pairs does NOT correctly match the element and its oxidation number? W) Oxygen in H O and -2 2 2 X) Bromine in Br and 0 2 Y) Sodium in NaCl and +1 Z) Sulfur in SO 2 and +4 3−
Generate a Chemistry short answer question:,"Identify by name or number all of the following five factors upon which the rate of a gaseous phase reaction substantially depends: 1) reactant concentration, 2) molecule size, 3) number of distinct products and reactants, 4) activation energy, 5) pressure."
Generate a Physics short answer question:,"How much work, in joules, is done on a 2000-kilogram car by applying a 1000-newton force to move it 20 meters?"
Generate a Physics short answer question:,"A 50-kilogram person in an elevator is moving upward at a velocity of 2 meters per second. Given g as 9.8 meters per second squared, and providing your answer to the nearest ten, how much force, in newtons, is she exerting on the elevator floor?"
Generate a Physics short answer question:,A thermodynamic process that takes place at a constant pressure can be described by what adjective?
Generate a Physics short answer question:,"Using 9.8 meters per second squared for g and expressing your answer in scientific notation to one significant digit, what is the water pressure, in newtons per square meter, at a depth of 2 meters in a swimming pool?"
Generate a Energy multiple choice question:,Crates A and B have equal mass and travel the same distance on a horizontal track while a constant force F acts on A and a constant force 2F acts on B. Both crates start from rest. Which of the following equations represents the velocities V and V of A A B and B at the end of the displacement? W) V = V /2 B A X) V = 2V B A Y) V = 2V B A Z) V = 4V B A
Generate a Energy short answer question:,"A 100 kilogram roller coaster starts from rest at a height of 500 meters. Given g as 10 meters per second squared and no friction, what speed in meters per second will it achieve at the bottom?"
Generate a Math short answer question:,"Providing your answer as an improper fraction in simplest form, what is the slope of the line tangent to the graph of 3 x2 (read as: the cube root of x squared) at the point with coordinates of (-1/8, 1/4)?"
Generate a Math short answer question:,0 10) MATH Short Answer Evaluate the integral: 36 (cid:0) x2 dx (read as: the integral from -6 to (cid:0)6 0 of the square root of open parenthesis 36 minus x squared close parenthesis d x).
Generate a Physics short answer question:,"An electrical field does 6 joules of work on a charged particle, moving it from 1 volts to 3 volts. What is the charge of the particle in coulombs?"
Generate a Physics short answer question:,"Given g as 10 meters per second squared and the speed of sound as 331 meters per second, if you dropped a pebble down a well and heard a splash 3 seconds later, approximately how far down, in meters rounded to the nearest ten, was the water?"
Generate a Energy multiple choice question:,"Transformer efficiency is lowered, primarily due to power loss, at which of the following locations? W) The load X) The source Y) The core Z) The grounding point"
Generate a Energy short answer question:,"For many household appliances, a step-down transformer is used. If such a transformer has an input of 120 volts and 0.6 amperes, and an output of 24 volts, what is the maximum possible output current in amperes?"
Generate a Biology multiple choice question:,Which of the following best explains why a Gram-negative bacterial infection would be more difficult to treat than a Gram-positive one? W) The cell membrane of Gram-positive bacteria functions as an endotoxin X) Gram-positive bacteria are facultative anaerobes Y) Gram-positive bacteria have a cell membrane and a secondary lipopolysaccharide layer (read as: lip-ōe-pahl-i-SAHK-ah-ryd) Z) Gram-negative bacteria have a cell membrane and a secondary lipopolysaccharide layer
Generate a Biology short answer question:,"A protist is found that has an amoeba-like appearance, fuses to form multinucleate structures, lacks chlorophyll, and has sporangia that produce flagellated spores. To what phylum does it belong?"
Generate a Math short answer question:,"If f x, y = xy + 3xy2 (read as: f of x, y equals xy plus 3xy squared), what is the partial derivative of f with respect to y?"
Generate a Math short answer question:,Approximate the area under f(x) = x2 + 1 from x = 0 to x = 8 using a mid-point Riemann sum with four equal subintervals.
Generate a Biology short answer question:,Name the class of mollusks in which many larval stages undergo torsion.
Generate a Biology multiple choice question:,"Which of the following BEST describes the problem that torsion creates for gastropods? W) More energy is needed to develop a coiled shell X) Waste is expelled above the organism’s head and mouth Y) It limits the amount of space the organism has for growth Z) To eat, an organism must extend its body outside of its protective shell"
Generate a Energy short answer question:,What kind of chemical reaction is used to produce methane from algae decomposition?
Generate a Energy short answer question:,"You’re designing a battery pack filled with many cell phone lithium- ion batteries capable of storing 500 megawatt hours of energy. If the battery operates at a constant voltage of 3.6 volts, providing your answer in scientific notation with two significant figures, what capacity in ampere hours would you need to store 500 megawatt hours of energy?"
Generate a Physics multiple choice question:,A bucket of hot oil weighing 50 newtons is lifted at constant velocity up a castle wall that is 10 meters high. It takes 20 seconds to raise the bucket up the wall. How much power was used to raise the bucket? W) 25 watts X) 25 joules Y) 500 joules Z) 500 watts
Generate a Physics short answer question:,"A 3.5 ampere current is maintained in a simple circuit with a total resistance of 1500 ohms. In coulombs, what net charge passes through any point in the circuit during a 30-second interval?"
Generate a Biology multiple choice question:,Which of the following is NOT a response of liver cells to glucagon? W) Decrease of glucose breakdown X) Increase of gluconeogenesis (read as: gluh-koh-nee-oh-JEHN-eh-sis) Y) Increase of release of calcium ions Z) Increase of fat synthesis
Generate a Biology short answer question:,What compound is secreted into the digestive system to reduce gastric acidity?
Generate a Math short answer question:,What is the limit of (3x2 + 6x)/(5 + 3x + x2) (read as: open parenthesis 3x squared plus 6x close parenthesis over open parenthesis 5 plus 3x plus x squared close parenthesis) as x goes to infinity?
Generate a Math short answer question:,"Given f(x) = tanx/secx, find f’(2π/3) (read as: Given f of x equals tangent of x over secant of x, find f prime of 2 pi over 3)."
Generate a Chemistry multiple choice question:,Which of the following compounds is generally considered soluble in water? W) Sodium nitrate X) Magnesium carbonate Y) Silver chloride Z) Barium sulfate
Generate a Chemistry multiple choice question:,"Nitrous acid plus calcium hydroxide yield calcium nitrite (read as: ni-TRITE) plus water. Which of the following represents the coefficients for the compounds, in the order listed, when the reaction is correctly balanced? W) 1, 2, 1, 1 X) 1, 1, 1, 1 Y) 2, 2, 1, 2 Z) 2, 1, 1, 2"
Generate a Chemistry short answer question:,"Name two of the elements that are common exceptions to the octet rule, because they are frequently found in compounds in which they have only six valence electrons."
Generate a Chemistry multiple choice question:,"Regarding butylene’s alkene isomers, which of the following statements is correct? W) Some are cis-trans isomers X) Some are chiral Y) Some are enantiomers (read as: in-AHNT-ee-oh-mehrs) Z) Some are atropisomers (read as: ah-troh-pee-sōe-mehrs)"
Generate a Biology short answer question:,"When a plant cell is placed into a hypertonic solution, the cytoplasm in the plant cell shrinks away from the cell wall. What is the term that describes this phenomenon?"
Generate a Biology short answer question:,"What is the adjective used to describe animals that produce live offspring that, prior to birth, were nourished via a placenta?"
Generate a Chemistry multiple choice question:,"According to the Bronsted-Lowry system, a base is defined as which of the following: W) electron pair acceptor X) proton acceptor Y) proton donor Z) hydroxide donor"
Generate a Chemistry short answer question:,What is the molecular formula for the conjugate base of the following Brønsted-Lowry acid: H CO 2 3
Generate a Physics multiple choice question:,"In response to the development of incandescent lights, gas lights were vastly improved by soaking the mantles in what substance to help convert heat and UV energy into visible light: W) thorium oxide X) titanium dioxide Y) uranium oxide Z) tungsten"
Generate a Physics short answer question:,"A hunter uses a 30-gram arrow that is fired by a bowstring at a velocity of 56 meters per second. What is the impulse on the arrow, to the second decimal place in kilogram meters per second?"
Generate a Biology short answer question:,What specific area of the human diencephalon is responsible for producing factors that regulate the release of hormones of the pituitary?
Generate a Biology multiple choice question:,Which of the following is an insertion of the human biceps femoris muscle: W) ventral portion of the head of the femur X) lateral sides of the head of the tibia Y) ileac crest Z) pubic symphisis
Generate a Math short answer question:,"3 4) MATH Short Answer Given that tangent θ = ! , find the possible values of sine θ: 4 3 3"
Generate a Math short answer question:,"Divide and simplify the following 2 polynomials, combining like terms: (x3 !8) (x!2)"
Generate a Earth science multiple choice question:,Which of the following was the evidence that Alfred Wegener did not have that would have convinced the scientific community that his theory of continental drift was correct: W) paleomagnetic studies X) apparent fit of the continents Y) locations of ancient glacial deposits Z) comparative fossil studies
Generate a Earth science multiple choice question:,Which of the following is NOT true of seismic waves: W) the modified Mercalli scale measures earthquakes based on direct observations of damage X) the actual underground point of origin of an earthquake is called the hypocenter Y) the typical velocity of a P-wave near the Earth’s surface is about 5 kilometers per second Z) S-waves cause the most damage during an earthquake
Generate a Chemistry multiple choice question:,"The reaction Ca(OH) + 2HCl à 2H O + CaCl , is an example 2 2 2 of what class of chemical reaction: W) synthesis X) single replacement Y) double replacement Z) decomposition"
Generate a Chemistry short answer question:,"A gas sample occupies a volume of 10.0 liters at a pressure of 800 torr. If the pressure on the sample becomes 1.5 atmospheres and temperature remains constant, what volume does the gas now occupy, to the first decimal place in liters?"
Generate a Physics multiple choice question:,Which of the following is the BEST expression of the speed of sound waves in various media: W) the product of the elastic property times the inertial property X) the value of the inertial property divided by the elastic property Y) the value of the elastic property divided by the inertial property Z) the square root of the elastic property divided by the inertial property
Generate a Physics short answer question:,"If a mandolin string is tuned to 880 hertz and is 28-centimeters long, what is the wavelength, in meters rounded to the second decimal place, of the sound wave produced by this string, assuming that the instrument is at 20ºC and that the speed of sound is 343 meters/second?"
Generate a Biology multiple choice question:,Which of the following is NOT true: W) comb jellies or ctenophores (read as: ten-OH-fours) have radial symmetry X) lobsters have bilateral symmetry Y) protostomes have no true coeloms (read as: SEE-loams) Z) flatworms are acoelomates (read as: ah-SEA-low-mates)
Generate a Biology short answer question:,Name all of the following 4 choices that are compound fruits: tomato; raspberry; grape; pineapple
Generate a Math multiple choice question:,Which of the following is NOT a regular polyhedron: W) regular tetrahedron X) cube Y) regular icosahedron Z) regular hexadecagon
Generate a Math short answer question:,Solve the following quadratic inequality for x: x2 + 5x + 4 ≥ 0
Generate a Earth science multiple choice question:,"Which of the following is a terminal moraine that resulted at the climax of the Wisconsin ice sheet: W) Long Island, New York X) the northern Bahamas Islands Y) Death Valley, California Z) Hudson Bay, Canada"
Generate a Earth science multiple choice question:,"Looking down on the Earth in the Northern Hemisphere, which of the following BEST describes the circulation of air above an anticyclone: W) air spiraling inward in a counter-clockwise direction X) air spiraling outward in a counter-clockwise direction Y) air spiraling inward in a clockwise direction Z) air spiraling outward in a clockwise direction"
Generate a Chemistry multiple choice question:,Which of the following is NOT true regarding general trends for the representative elements in the Periodic Table: W) simple positive ions are always smaller than the neutral atoms from which they are formed X) elements with low ionization energies lose electrons easily Y) the size of anions increases from left to right Z) electronegativities increase from left to right
Generate a Chemistry short answer question:,"How many carbons and hydrogens are in the following compound: (read slowly) 2,4-dimethyl hexane"
Generate a Physics multiple choice question:,The index of refraction for a medium is: W) the ratio of the angles of refraction of red light and blue light in the medium X) the angle of refraction for monochromatic light in the medium Y) the ratio of the speed of light in the medium to the speed of light in a vacuum Z) the ratio of the speed of light in a vacuum to the speed of light in the medium
Generate a Physics short answer question:,"If light of a single wavelength of 600 nanometers moves from air into a medium with a refractive index of 1.25, what is the wavelength, in nanometers, of the light as it travels in the denser medium?"
Generate a Biology multiple choice question:,"Which of the following BEST meets the premises of the Hardy- Weinberg equilibrium: W) random mating, small populations, and no genetic load X) random mating, large populations, and no genetic load Y) non-random mating, small populations, and no net mutations Z) non-random mating, large populations, and no net mutations"
Generate a Biology short answer question:,Name all of the following 3 classes of biological molecules whose immediate breakdown product can generate energy by feeding into metabolism at the level of pyruvate or acetyl Co-A: lipids; proteins; carbohydrates
Generate a Math short answer question:,Solve the following logarithmic equation for x: log x = 4 (read as: log 4 base 4 of x equals 4)
Generate a Math short answer question:,"Find the 9th term of the geometric sequence whose first 3 terms are 3, 6, and 12:"
Generate a Earth science multiple choice question:,The catastrophic dust bowl of the 1930’s was caused by which of the following processes: W) isostatic adjustment X) basal slip Y) desertification Z) mass wasting
Generate a Earth science multiple choice question:,Which of the following is an example of a U-shaped valley that is partially submerged: W) fjord X) arete Y) paternoster lake Z) hanging valley
Generate a Chemistry short answer question:,What is the pH of a 1 × 10–4 molar HCl solution?
Generate a Chemistry short answer question:,Order the following 4 bonds from those with the LOWEST electronegativity difference to the GREATEST difference: F-H; O-H; S-H; Cl-H
