prompt,completion
Generate a Math short answer question:,Math – Short Answer The volume of a right circular cone is 12. What is the new volume if the height remains constant and the radius of the base is doubled?
Generate a Math short answer question:,"Math – Short Answer If the line tangent to the graph of the differentiable function f of x at the point (–2, 6.5) passes through the point (9.5, –3), then what is f prime of x when x = –2?"
Generate a Physics short answer question:,Physics – Short Answer Rank the following three processes in increasing order of the temperature at which they occur at standard pressure: 1) Ice melts; 2) Dry ice sublimates [SUB-lim-ates]; 3) Helium boils.
Generate a Physics short answer question:,"Physics – Short Answer Identify all of the following three devices that, on their own, can convert AC current to DC current: 1) Diode; 2) Rectifier; 3) Transformer."
Generate a Biology short answer question:,Biology – Short Answer What cytoskeletal component is the major constituent of the mitotic spindle apparatus?
Generate a Biology short answer question:,Biology – Short Answer Identify all of the following three statements that are true of parthenogenesis [par-then-oh-JEN-eh-sis]: 1) Parthenogenesis involves budding; 2) Parthenogenesis involves the development of unfertilized eggs into offspring; 3) Parthenogenesis can create a genetic clone of the parent.
Generate a Chemistry short answer question:,"Chemistry – Short Answer Rishi graphs the pressure exerted by an ideal gas on its chamber on the y-axis and its temperature in degrees Celsius on the x-axis. To the nearest degree Celsius, what is the x-intercept of this graph?"
Generate a Chemistry multiple choice question:,Chemistry – Multiple Choice Which of the following solids is more soluble in one-molar hydrochloric acid than it is in pure water? W) Barium sulfate X) Barium bromide Y) Calcium hydrogen phosphate Z) Calcium chloride
Generate a Energy short answer question:,Energy – Short Answer Scientists at Ames Lab are studying the interactions between gold nanoparticles and the heteroatom in butane- thiol [THIGH-awl]. What element is this heteroatom?
Generate a Energy multiple choice question:,Energy – Multiple Choice Researchers at Thomas Jefferson National Accelerator Facility are using Monte Carlo methods to evaluate integrals in very high dimensional spaces. Which of the following best explains the advantage of Monte Carlo techniques in these settings? W) Direct integration techniques are too computationally intensive in high dimensions X) Monte Carlo integration is known to be more accurate than direct integration Y) Monte Carlo techniques are easier to combine with machine learning methods Z) Direct integration techniques are susceptible to numerical overflow in high dimensions
Generate a Math short answer question:,Math – Short Answer 8 is one-fourth percent of what number?
Generate a Math short answer question:,"Math – Short Answer If x is proportional to y and inversely proportional to z2, and if x = 3 when y = 4 and z = 8, what is the value of x when y = 6 and z = 10?"
Generate a Physics short answer question:,"Physics – Short Answer You are pushing your broken car to prevent it from sliding down a hill. Unfortunately, as you apply 300 newtons of force directly up the hill, the car slides 4 meters down the hill. In joules, how much work have you performed on the car during this period?"
Generate a Physics multiple choice question:,"Physics – Multiple Choice In a carnival ride, participants stand in an upright cylindrical room that starts rotating rapidly, and they end up pressed against the walls with their feet above the ground. Which of the following forces balances the gravity on the riders? W) Normal force X) Frictional force Y) Centripetal force Z) Centrifugal force"
Generate a Biology short answer question:,"Biology – Short Answer Plasma cells and their precursors, plasmablasts, are differentiated forms of what type of lymphocyte?"
Generate a Biology short answer question:,Biology – Short Answer Identify all of the following three types of interactions that are examples of symbiosis: 1) Commensalism; 2) Mutualism; 3) Parasitism.
Generate a Chemistry multiple choice question:,Chemistry – Multiple Choice Which of the following thermodynamic properties necessarily implies that a reaction is spontaneous? W) Negative delta G X) Negative delta H Y) Positive delta S Z) Positive W
Generate a Chemistry short answer question:,"Chemistry – Short Answer A certain electrochemical cell has a standard cell potential of 1.5 volts for a reaction that transfers 3 electrons. To two significant figures and in kilojoules, what is the standard Gibbs free energy change of this cell?"
Generate a Energy short answer question:,Energy – Short Answer Scientists at the Joint BioEnergy Institute are developing methods to break down the second-most- abundant polymer found in wood for biofuel production. What is the name of this difficult-to-break-down polymer?
Generate a Energy short answer question:,"Energy – Short Answer Scientists at Oak Ridge National Lab are producing neutrons via spallation. Normally, these neutrons are then slowed down by passing them through a certain type of material before they are used for neutron imaging. What is the term for materials that demonstrate this behavior?"
Generate a Chemistry multiple choice question:,Chemistry – Multiple Choice Which of the following functional groups is created by the addition of an alkyne [AL-kine] to Lindlar’s catalyst and hydrogen gas? W) Alkane X) Cis-alkene [sis-al-KEEN] Y) Trans-alkene Z) Alkyl [AL-kul] halide [HAY-lide]
Generate a Chemistry short answer question:,Chemistry – Short Answer Identify all of the following three types of orbitals that can form sigma bonds: 1) 1s; 2) 2s; 3) 2p.
Generate a Energy multiple choice question:,Energy – Multiple Choice Researchers at Lawrence Berkeley National Lab are using small angle X-ray scattering to study the structural biology of the protein XPG. XPG repairs DNA damage caused by UV photons. To which of the following DNA motifs would XPG most likely be bound? W) CG repeats X) DNA double strand breaks Y) Adjacent pyrimidines [pur-RIM-ih-deens] Z) Transcription start sites
Generate a Energy multiple choice question:,Energy – Multiple Choice Scientists at Argonne National Lab are studying supernova nucleosynthesis. Which of the following elements on Earth primarily originates from supernova nucleosynthesis? W) Arsenic X) Promethium [pro-MEE-thee-um] Y) Hydrogen Z) Beryllium
Generate a Math short answer question:,"Math – Short Answer If k is a positive integer such that the least common multiple of 80 and k is 5k, what is the greatest common divisor of 80 and k?"
Generate a Math short answer question:,Math – Short Answer A line is represented parametrically by the equations x = 3t + 5 and y = –2t – 7. What are the slope and the y-intercept of this line?
Generate a Physics multiple choice question:,"Physics – Multiple Choice Gabby has a device capable of pushing objects with an unknown amount of constant force. To determine the magnitude of this force, she makes several measurements by using the device to apply force to objects of varying mass and measuring the resultant acceleration. Which parameters should she choose for her x- and y-axes, respectively, such that the slope of the line of best fit is the force her device applies? W) Mass and acceleration X) One over mass and acceleration Y) Mass and one over acceleration Z) One over mass and one over acceleration"
Generate a Physics short answer question:,Physics – Short Answer Identify all of the following three statements that are true of a skydiver as they approach terminal velocity: 1) Their speed is increasing; 2) Their acceleration magnitude is increasing; 3) The magnitude of the gravitational force on them is decreasing.
Generate a Biology short answer question:,Biology – Short Answer Juxtamedullary [juxta-MED-joo-lair- ee] and cortical nephrons differ most in the length of what segment of the nephron?
Generate a Biology short answer question:,Biology – Short Answer Identify all of the following three statements that are true of bacterial chromosomes: 1) They are typically circular; 2) Bacteria only possess one chromosome per cell; 3) They possess telomeres [TEL-oh-meers].
Generate a Chemistry short answer question:,Chemistry – Short Answer What is the IUPAC [EYE-you-pack] name of the product formed when acetic acid is reacted with lithium aluminum hydride in anhydrous conditions?
Generate a Chemistry short answer question:,Chemistry – Short Answer Butanone [BYOO-tah-known] can be synthesized via the reaction of what molecule with potassium dichromate in the presence of acid?
Generate a Energy short answer question:,Energy – Short Answer Geophysicists at SLAC National Accelerator Lab are studying the core-mantle boundary by imaging liquid silicates under shockwave conditions. What type of seismic body waves cannot cross the core-mantle boundary?
Generate a Energy short answer question:,Energy – Short Answer Scientists supported by the Department of Energy are studying a phage ferredoxin [fair-eh-DOCK-sin]. What prosthetic group does this protein use for electron transfer?
Generate a Math short answer question:,Math – Short Answer Find the value of a for which the following vectors are orthogonal: 36i + 20j and ai + 27j.
Generate a Math short answer question:,Math – Short Answer What is the units digit of 7 to the 33rd power times 8 to the 55th power?
Generate a Physics multiple choice question:,Physics – Multiple Choice Which of the following describes how the electric potential due to a point charge scales with distance away from the charge? W) Linearly X) Quadratically Y) With the inverse Z) With the inverse squared
Generate a Physics short answer question:,Physics – Short Answer Identify all of the following three properties of an electromagnetic wave that can change when the wave passes from one medium to another: 1) Period; 2) Wavelength; 3) Speed.
Generate a Biology short answer question:,Biology – Short Answer Genes can be inserted into plasmids by treating both the gene and the plasmid with a restriction enzyme. The DNA fragments are then mixed and treated with what enzyme to complete the insertion?
Generate a Biology short answer question:,Biology – Short Answer You are drawing the Punnett square to tally the F2 generation of a trihybrid cross. How many entries are present within this square?
Generate a Chemistry multiple choice question:,Chemistry – Multiple Choice M over Z is a measured quantity in which of the following analytical techniques? W) Mass spectrometry X) Infrared spectroscopy Y) NMR spectroscopy Z) UV-vis spectroscopy
Generate a Chemistry short answer question:,"Chemistry – Short Answer In a typical thin-layer chromatography experiment, what is the stationary phase?"
Generate a Energy short answer question:,"Energy – Short Answer Pacific Northwest National Lab researchers are studying different processes that can lead to cognitive decline, such as the sclerosis of the region of the brain most associated with learning and memory. What is the term for this C-shaped structure?"
Generate a Energy short answer question:,Energy – Short Answer Scientists at Brookhaven National Lab are studying a quantum-mechanical phase of matter that is a gas composed of only bosons. What is the term for this type of gas?
Generate a Math short answer question:,Math – Short Answer What is the product of –√7 – 2i and its complex conjugate?
Generate a Math short answer question:,Math – Short Answer What is the integral from x = 2 to x = cube root of 13 of x2 times the square root of open parenthesis x3 – 4 close parenthesis dx?
Generate a Physics multiple choice question:,"Physics – Multiple Choice If two simple pendulums have the same oscillation [aw-sih-LAY-shun] frequency but pendulum A has twice the mass of pendulum B, what is the length of pendulum B? W) Half that of pendulum A X) The same as pendulum A Y) Twice that of pendulum A Z) Four times that of pendulum A"
Generate a Physics short answer question:,"Physics – Short Answer A boat is sliding down a ramp. The ramp is angled at 30 degrees to the horizontal, and the coefficient of kinetic friction between the boat and the ramp is 0.25. To the nearest meter per second squared, what is the acceleration of the boat down the ramp?"
Generate a Biology short answer question:,Biology – Short Answer What is the term for the process by which plants grow toward light?
Generate a Biology short answer question:,Biology – Short Answer Identify all of the following three proteins that can be found in the extracellular matrix: 1) Elastin; 2) Albumin; 3) Fibronectin.
Generate a Biology multiple choice question:,Which of the following glial cell types makes up the blood-brain barrier? W) Astrocytes X) Oligodendrocytes [OL-i-goh-DEN-ruh-syts] Y) Radial glia Z) Schwann cells
Generate a Biology short answer question:,"Dopamine, norepinephrine [nohr-ep-uh-NEF-rin], and epinephrine [e-puh-NE-frin] are all derivatives of what amino acid?"
Generate a Chemistry short answer question:,"Identify all of the following three instruments or techniques that could be used to determine the concentration of an unknown solution of acetic acid: 1) titration, 2) potentiostat, 3) ion-exchange column."
Generate a Chemistry multiple choice question:,"For a second-order kinetic process where 1 molecule of A irreversibly becomes 1 molecule of B, which of the following plots would generate a line? W) Plotting the concentration of A versus time X) Plotting one over the concentration of A versus time Y) Plotting the log of the concentration of A versus time Z) Plotting the exponential of the concentration of A versus time"
Generate a Math short answer question:,(cid:4666)(cid:3051)(cid:3118)(cid:2879)(cid:2877)(cid:4667) 3) MATH Short Answer What is the limit as x approaches 3 of [open parenthesis x (cid:4666)(cid:3051)(cid:3120)(cid:2879)(cid:2876)(cid:2869)(cid:4667) squared minus nine close parenthesis divided by open parenthesis x to the fourth minus eighty-one close parenthesis]? W) 1 (cid:2869) X) (cid:2877) (cid:2869) Y) (cid:2869)(cid:2876) (cid:2869) Z) (cid:2870)(cid:2875) (cid:2869)
Generate a Math short answer question:,"Indicate all of the following three possible values for c so that the equation 2x2 – 3x + c = 0 [two x squared minus three x plus c equals zero] has roots that are irrational: -1, -2, -3."
Generate a Physics short answer question:,"A single semiconductor crystal that has been selectively doped with small amounts of phosphorous on one end, and aluminum on the other end, creates what type of connection?"
Generate a Physics short answer question:,"Consider a linear temperature scale, J, on which the boiling point of water is 65 degrees J and the freezing point is negative 15 degrees J. To what temperature in degrees Fahrenheit does a temperature of negative 55 degrees J correspond?"
Generate a Chemistry multiple choice question:,Which of the following describes the conditions of a process that would be impossible without an energy input? W) ∆G < 0; ∆H < 0; ∆S > 0 X) ∆G > 0; ∆H > 0; ∆S > 0 Y) ∆G < 0; ∆H < 0; ∆S < 0 Z) ∆G > 0; ∆H > 0; ∆S < 0
Generate a Chemistry multiple choice question:,"Which of the following statements is TRUE regarding calorimetry and heating curves? W) Bomb calorimeters directly measure the change in enthalpy of a reaction X) A heating curve plots pressure versus temperature and is divided into three regions Y) Regions depicting a phase change are flat on a heating curve Z) The steeper the slope of a heating curve, the higher the heat capacity of that phase"
Generate a Biology multiple choice question:,Which of the following vitamins is NOT fat soluble? W) Tocopherol [toh-KOF-uh-rol] X) Phylloquinone [fil-oh-KWIN-ohn] Y) Biotin Z) Calciferol [kal-SIF-uh-rol]
Generate a Biology multiple choice question:,"Ribulose-1,5-bisphosphate carboxylase [kahr-BOK-suh- layz]/oxygenase[OK-si-juh-nays], also known as RuBisCO, is an enzyme present in photosynthetic plants and is thought to be the most abundant protein on earth. Which of the following is NOT a reason that plants produce such large quantities of RuBisCO? W) RuBisCO is a slow-acting enzyme X) RuBisCO lacks specificity for carbon Y) RuBisCO is inhibited by carbon dioxide Z) Plants build large aggregate complexes of RuBisCO"
Generate a Energy multiple choice question:,Graphite is a fantastic electrical conductor. What is its crystal structure? W) Tetragonal X) Planar Y) Octahedral Z) Buckeyballs
Generate a Energy question question:,Short
Generate a Math short answer question:,What is the lateral surface area of a right circular cone with radius 5 and height 12?
Generate a Math short answer question:,"In a 30-60-90 right triangle, the 60 degree angle is bisected. What is the ratio of the segments into which the bisector divides the opposite leg?"
Generate a Biology short answer question:,Name the growth response to generalized mechanical disturbances in plants.
Generate a Biology short answer question:,"In plants, what class of ground tissue is responsible for most of the plants’ photosynthesis?"
Generate a Chemistry multiple choice question:,Which of the following molecules has T-shaped molecular geometry? W) BF 3 X) NF 3 Y) ClF [C-L-F three] 3 Z) SO 3
Generate a Chemistry short answer question:,"An adsorption isotherm apparatus consists of a dosing chamber with a volume of 30 milliliters as well as a sample chamber. The two airtight chambers are initially separated by a valve and at a pressure of 0 torr. Helium gas is let into the dosing chamber until the pressure reaches 600 torr. The valve is then opened, and the helium expands into the sample chamber. Once the pressure has equilibrated between both chambers, it is measured to be 400 torr. In milliliters to two significant figures, determine the volume of the sample chamber."
Generate a Physics short answer question:,"What phenomenon, often observed when nuclear waste is stored in water, occurs when charged particles travel through a medium faster than the speed of light in that medium?"
Generate a Physics short answer question:,"A rocket is at rest in deep space. It suddenly experiences a linear acceleration of 50 meters per second squared for 5 seconds, coasts for 3.0 seconds, and then decelerates at 2.0 meters per second squared until coming to a halt. How far, in meters and to two significant figures, does the rocket travel during the deceleration phase of its journey?"
Generate a Biology multiple choice question:,"Which of the following amniotic egg structures does NOT match its function? W) Amnion, protects developing embryo in fluid filled sac X) Yolk sac, stockpiles nutrients Y) Chorion [KOHR-ee-on], facilitates gas exchange Z) Allantois, connects yolk to embryo"
Generate a Biology multiple choice question:,Which of the following does albumin [al-BYOO-muhn] help to regulate? W) Osmotic pressure X) Electron transport Y) DNA repair Z) Heme maturation [HEEM]
Generate a Math short answer question:,There are 50 people in a room: 28 are male and 32 are in college. Twelve are males in college. How many women who are not in college are in the room?
Generate a Math short answer question:,"Set A consists only of positive integers less than or equal to 100, where no two elements of the set sum to 149. What is the maximum possible number of elements in set A?"
Generate a Energy multiple choice question:,Which of the following is NOT a role that large-scale batteries could play in a power generation portfolio based on renewable energy sources? W) Frequency modulation X) Peak shaving Y) Load leveling Z) Voltage modulation
Generate a Energy short answer question:,"What term describes quantities that are independent of a system’s path, such as enthalpy and entropy?"
Generate a Chemistry multiple choice question:,Drift and diffusion both describe the movement of particles. Which of the following is an example of drift? W) Random thermal motion of holes X) Atoms moving from areas of high concentration to areas of low concentration Y) Electrons moving to the anode Z) Dopants moving into a semiconductor
Generate a Chemistry multiple choice question:,"Which of the following best explains why titanium dichloride is a solid at room temperature, but titanium tetrachloride is a liquid? W) The Ti-Cl bond in titanium tetrachloride has more covalent character X) The Ti-Cl bond in titanium tetrachloride has more ionic character Y) Titanium dichloride forms a molecular solid, whereas titanium tetrachloride does not Z) The presence of more gaseous chlorine lowers the melting point of titanium tetrachloride"
Generate a Biology short answer question:,What group of orange unsaturated hydrocarbons is primarily synthesized by plants for use as photosynthetic pigments and also contains a biologically inactive form of vitamin A?
Generate a Biology multiple choice question:,Which of the following is true regarding plant ground tissue? W) Parenchyma [puh-RENG-kuh-muh] is mostly responsible for structural support X) Collenchyma [kuh-LENG-kuh-muh] consists of dead cells with thick cell walls Y) Sclerenchyma [skli-RENG-kuh-muh] is the most lignified type of ground tissue Z) Sclerenchyma cells can adapt to stress conditions at maturity
Generate a Physics short answer question:,Identify all of the following three elements that could be used as dopants in germanium to make an n-type semiconductor: 1) phosphorous; 2) boron; 3) antimony.
Generate a Physics short answer question:,"You throw a tennis ball directly downwards from the top of a building at 6 meters per second. At the same moment, your friend throws a ball directly downwards from the top of another building at 16 meters per second. Assuming the balls hit the ground with the same velocity and that g = 10 meters per second squared, what is the difference in heights of the two buildings, in meters?"
Generate a Energy multiple choice question:,Which of the following compounds acts as a catalyst in the production of biodiesel from oils? W) Vegetable oil X) Lye Y) Methanol Z) Copper
Generate a Energy short answer question:,"What quantum mechanical approximation states that nuclei move much more slowly than electrons, and thus can be neglected in the molecular Hamiltonian?"
Generate a Math short answer question:,"Consider a genetics experiment in which you do a dihybrid cross for two genes that you believe will segregate independently. What simple statistical test would be most useful, and least complicated, for determining whether or not there is a significant difference between the observed distribution of genes and the calculated distribution of genes?"
Generate a Math short answer question:,"The first term in a sequence is 2014, and each successive term is the sum of the cubes of the digits of the term immediately preceding it. What is the 100th term?"
Generate a Chemistry multiple choice question:,"Identify which one of the following statements about Boltzmann distribution of energy is false. W) Degenerate states have the same energy and will be equally populated X) An exponential increase in population with increasing temperature is predicted Y) More states are significantly populated if energy level spacings are near kT Z) At T = 0, only the lowest energy state is occupied"
Generate a Chemistry short answer question:,"Two moles of calcium nitrate are dissolved in 1 kilogram of water. Approximating the boiling-point-elevation constant of water as 0.5 °Celsius per molal, and reporting your answer to the nearest degree Celsius, what is the boiling point at standard pressure for this solution?"
Generate a Math multiple choice question:,"Which of the following best describes the system of linear equations: y – 2x = - 2, y + x = 4 [y minus two x equals negative two and y plus x equals four]? W) Consistent, Dependent X) Consistent, Independent Y) Inconsistent, Dependent Z) Inconsistent, Independent"
Generate a Math short answer question:,What is the largest possible sum of the digits on a 12-hour digital clock that displays the hours and minutes?
Generate a Biology multiple choice question:,Which of the following instruments would be used to sterilize glassware for use in a biology lab? W) Microtome X) Autoclave Y) Spectrometer Z) Thermocycler
Generate a Biology multiple choice question:,"In dragons, the alleles [uh-LEELS] for yellow flame color and blue flame color are incompletely dominant. If a homozygous [hoh-muh-ZY-guhs] yellow-flame dragon mates with a homozygous blue-flame dragon, all of the brood will have green flame. Which of the following choices represents an expected probability for a brood produced by two green-flame dragons? W) 75% green flame X) 75% blue flame Y) 25% yellow flame Z) 25% green flame"
Generate a Chemistry multiple choice question:,Which of the following molecules is NOT an exception to the octet rule? W) BF [B-F three] 3 X) NH [N-H three] 3 Y) SF [S-F four] 4 Z) NO [N-O]
Generate a Chemistry short answer question:,"In nickel-cadmium batteries, the cadmium electrode undergoes what process?"
Generate a Physics short answer question:,Millikan’s oil-drop experiment was used to calculate what physical value?
Generate a Physics multiple choice question:,Which of the following statements is NOT true regarding a system undergoing rotation? W) Torque is the physical quantity describing a force causing rotation about an axis X) Moment of inertia describes the tendency of an object to resist changes in angular momentum Y) Torque is required to tilt the axis of rotation Z) Conservation of angular momentum explains why pulsars will never stop spinning
Generate a Energy short answer question:,EARTH AND SPACE Short Answer The Sun’s energy is generated from the fusion of what element to form what other element?
Generate a Biology short answer question:,The Bowman’s capsule and the glomerulus [gloh-MER-yuh-luhs] compose what part of the mammalian kidney?
Generate a Biology multiple choice question:,Which of the following proteins makes up intermediate filaments in the cytoskeleton? W) Actin X) Myosin [MY-uh-sin] Y) Tubulin Z) Keratin
Generate a Energy multiple choice question:,Which of the following is true regarding capacity factor for an electric power producer? W) Can be any number X) Always greater than 1 Y) Always between 1 and 0 Z) Always below 0
Generate a Energy short answer question:,Specific gravity is commonly measured in what units?
Generate a Chemistry multiple choice question:,"If l = 3, what are the minimum and maximum allowed values of the magnetic quantum number (m) [M-L], respectively? l W) 1, infinity X) 0, 2 Y) -3, 3 Z) -½, ½"
Generate a Chemistry short answer question:,Identify all of the following three thermodynamic state functions that would increase as a result of water boiling at 100 degrees Celsius at atmospheric pressure: 1) Gibbs free energy; 2) enthalpy; 3) entropy.
Generate a Physics multiple choice question:,An object is placed 20 centimeters in front of a thin convex lens of focal length 10 centimeters. What must be the image distance in centimeters? W) 2 X) 5 Y) 10 Z) 20
Generate a Physics short answer question:,"Two people slide a 22 kilogram box across a frictionless floor a distance of 8 meters. Person 1 applies a force of 10 newtons to the box, while Person 2 applies a force of 12 newtons to the box in the same direction as Person 1. What is the velocity of the box, in meters per second, when it reaches the end of the 8 meters?"
Generate a Biology multiple choice question:,"You are surfing at the beach and see a shark nearby, activating your vertebrate stress response. Levels of which of the following would decrease during this response? W) Cortisol X) Glucagon [GLOO-kuh-gon] Y) Insulin Z) Epinephrine [e-puh-NE-frin]"
Generate a Biology multiple choice question:,"If your parietal [puh-RAY-i-tl] cells were to stop functioning, which of the following would you need to stop consuming? W) Soda pop X) Steak Y) Bread Z) Salad greens"
Generate a Chemistry multiple choice question:,"With respect to magnesium and oxygen, respectively, how do the radii of the constituent ions compare to the corresponding neutral atoms? W) Larger and larger X) Larger and smaller Y) Smaller and larger Z) Smaller and smaller"
Generate a Chemistry short answer question:,"Given that the pKa [P-K-A] of acetic acid is 4.8, find the pH to one decimal place of a solution of acetic acid that contains a 10:1 [ten to one] ratio of acetic acid to acetate."
Generate a Math short answer question:,"If , [one over x minus one over y equals one over z] what 1 1 1 does z equal in terms of x and y? 𝑥𝑥−𝑦𝑦 = 𝑧𝑧"
Generate a Math short answer question:,Find the inverse of the function f(x) = [f of x equals two divided by quantity x minus one]. 2⁄(𝑥𝑥−1)
Generate a Energy multiple choice question:,Carnot efficiency is limited by what physical quantity? W) Pressure X) Entropy Y) Flow rate Z) Temperature
Generate a Energy short answer question:,"What type of biofuel is produced by the anaerobic digestion or fermentation of biodegradable materials, primarily producing methane and carbon dioxide?"
Generate a Biology multiple choice question:,Which of the following fish groups is most likely to utilize tidal ventilation when feeding? W) Shark X) Tuna Y) Lamprey Z) Eel
Generate a Biology multiple choice question:,"Duchenne [duh-SHEEN] muscular dystrophy is the result of a recessive disease allele [uh-LEEL] for a gene on the X-chromosome. Which of the following is true regarding inheritance of the disease? W) Females have twice the chance of developing it, because they have two X chromosomes X) Mothers with the disease allele can pass it with equal probability to sons or daughters Y) Inbreeding has no effect on the likelihood of inheriting this disease Z) An affected son is always produced if his father has the disease allele"
Generate a Chemistry short answer question:,"In sulfur dioxide, what is the VSEPR [ves-per] theory prediction for the bond angle between sulfur-oxygen bonds?"
Generate a Chemistry short answer question:,"A reaction is dependent upon the concentrations of L, M, and N. You find that keeping the other reactants constant and doubling L quadruples the reaction rate; halving M has no effect on the reaction rate; halving N reduces the reaction rate to 1/8 of its original value. Provide the reaction orders for L, M, and N, as well as the overall order for the reaction."
Generate a Math short answer question:,How many points of intersection do the lines 2x – 3y = 5 and x = 1.5y + 2 [two x minus three y equals five and x equals one point five y plus two] have?
Generate a Math multiple choice question:,"In a class of 20 students taking an exam, 10% got 70 points, 25% got 80 points, 20% got 85 points, 15% got 90 points, and the rest got 95 points. What is the mean score? W) 80 X) 82 Y) 84 Z) 86"
Generate a Physics short answer question:,"A horizontally polarized electromagnetic wave is travelling in the positive x direction. When the electric field is pointing in the negative z direction, what direction is the magnetic field pointing?"
Generate a Physics short answer question:,"Identify all of the following 3 changes that would be observed if you were a stationary observer watching a spaceship pass by travelling at 99% of the speed of light: 1) The ship would appear longer; 2) A clock on the ship appears to run slower than your wristwatch; 3) As the ship travels away from you, it appears to be bluer."
Generate a Chemistry multiple choice question:,Which of the following statements about Fischer projections is false? W) The structure may be rotated by 90 degrees or 180 degrees X) Four bonds to a chiral [KY-ruhl] carbon make a cross with the carbon at the intersection of horizontal and vertical lines Y) Two horizontal bonds are directed toward the viewer Z) Two vertical bonds are directed behind the stereogenic carbon
Generate a Chemistry short answer question:,"Identify, respectively, the type of strain, if any, for both the antiperiplanar and synclinal [sin-KLYN-l] conformations of butane."
Generate a Biology multiple choice question:,Which of the following trace nutrients is most important for proper function of cytochrome c [SY-tuh-krohm C]? W) Magnesium X) Copper Y) Iron Z) Chromium
Generate a Biology multiple choice question:,Which of the following mammalian groups does NOT have a placenta? W) Marsupials [mahr-SOO-pee-uhls] X) Monotremes [MON-uh-treems] Y) Cetacea [si-TAY-shuh] Z) Chiroptera [kee-ROHP-tuh-ruh]
Generate a Energy multiple choice question:,"Assuming that one maintained a calorie deficit of 500 calories per day, approximately how long would it take to burn one pound of fat? W) 1 day X) 1 week Y) 1 month Z) 1 year"
Generate a Energy multiple choice question:,What is permeability as it applies to magnetic materials? W) Degree of magnetization that a material obtains in response to an applied magnetic field X) Ability of a magnetic material to move gases through the material Y) Amount of magnetic field needed to be applied to saturate the material Z) Ability of a magnetic material to pass a current
Generate a Biology multiple choice question:,Female insects usually lay their eggs near which of the following? W) Light X) Shade Y) Food Z) Water
Generate a Biology multiple choice question:,Which of the following biological molecules most directly enables the structural compartmentalization required for cellular respiration and photosynthesis [foh- tuh-SIN-thuh-sis]? W) Amino acids X) Phospholipids [fos-foh-LIP-ids] Y) Glycogen [GLY-kuh-juhn] Z) Cholesterol
Generate a Physics short answer question:,"Which Greek scientist discovered that, when an object is immersed in a fluid, there is a buoyant force acting upward on the object equal to the weight of the displaced fluid?"
Generate a Physics multiple choice question:,Which of the following is true for a cyclist applying her brakes while traveling west on a straight path? W) Her acceleration is zero X) She accelerates to the east Y) She accelerates to the west Z) She accelerates both to the east and the west
Generate a Chemistry multiple choice question:,"In which of the following ways would oxygen’s electrons fill the 3 p subshells? W) 1 pair, 2 unpaired X) 1 pair, 1 unpaired Y) 2 pairs Z) 3 pairs"
Generate a Chemistry short answer question:,What gaseous organic compound is made when ethanol is heated in a concentrated solution of sulfuric acid?
Generate a Math short answer question:,How many distinct diagonals does a pentagon have?
Generate a Math short answer question:,The polynomial p x x x x xhas a zero at x . Factor p completely. 4 3 2 ( ) = + 5 – 2 – 24 = 2
Generate a Energy multiple choice question:,Which of the following describes the purpose of the ground connection on a common power outlet? W) Provide a zero potential reference X) Remove excess heat from the transmission system Y) Give a low resistance path for short circuits to travel through Z) Act as a small current source to prevent corrosion
Generate a Energy short answer question:,"If a solar panel produces energy directly proportional to the flux of incident photons, what is the best orientation it can have, relative to the line from the Earth to the Sun?"
Generate a Biology multiple choice question:,Which of the following statements is NOT true about spike moss? W) They do not have true roots X) They have a well-developed vascular system Y) They are widely distributed in all parts of the world Z) Their leaves are spore-bearing
Generate a Biology short answer question:,"What is the term for the organic substance that consists of a dendritic network polymer of phenylpropene units and binds the cells, fibers, and vessels that constitute wood?"
Generate a Physics multiple choice question:,Pascal’s law governs the actions of forces in which of the following? W) Gases X) Solids Y) Incompressible fluids Z) A vacuum
Generate a Physics short answer question:,"What current, in amperes, is carried in a lightning stroke that lasts 0.5 seconds and transfers 100 coulombs of charge?"
Generate a Chemistry short answer question:,"In a flame test on an unknown compound, the flame is violet. What element is likely to be in the compound?"
Generate a Chemistry multiple choice question:,Which of the following anhydrous compounds has the lowest melting point? W) Aluminum chloride X) Calcium chloride Y) Copper (II) chloride Z) Lead (III) chloride
Generate a Math short answer question:,What is the surface area of a cube with volume 8?
Generate a Math short answer question:,"In terms of x and in standard polynomial form, what is the volume of a right rectangular prism with dimensions x , x , and (x )?"
Generate a Energy multiple choice question:,Which of the following uses stored electricity and is required to get a gasoline-powered car's engine going? W) Catalytic converter X) Starter motor Y) Fuel rail Z) Alternator
Generate a Energy short answer question:,Most coals of the softer varieties are forms of which of the three major rock types?
Generate a Biology multiple choice question:,Which of the following best describes blood? W) It is a specialized type of cell found in blood vessels X) It is a type of cell formed in the bone marrow Y) It is a kind of connective tissue in which red and white blood cells are suspended in plasma Z) It is a kind of epithelial tissue [ep-uh-THEE-lee-al]
Generate a Biology short answer question:,Valproic acid and trapoxin are inhibitors of what class of enzymes that regulate gene expression by altering chromatin accessibility?
Generate a Biology multiple choice question:,Which of the following statements best describes the thermodynamic effect of an enzyme on the reaction it catalyzes? W) The energy level of the reactants is decreased in the presence of the enzyme X) The activation energy of the reaction is decreased Y) The activation energy of the reaction is increased Z) The ΔG [delta-G] between products and reactants is decreased
