type,subject,format,question,answer
toss-up,math,Short Answer,What is the name of the type of surface generated by the equation z = x2+ y2?,ELLIPTIC PARABOLOID
bonus,math,Short Answer,"If the probability of event A is 0.25, the probability of event B is 0.5, and the probability of the union of A and B is 0.55, expressing your answer as a decimal to the nearest tenth, what is the probability of the intersection of A and B?",0.2
toss-up,energy,Multiple Choice,Which of the following is the purpose of a fuel cell stack in a fuel cell vehicle? W) Store hydrogen gas compressed at extremely high pressure to increase driving range X) Govern the flow of electricity Y) Store energy generated from regenerative braking Z) Convert hydrogen and oxygen gas into electricity to power the electric motor,"Z) CONVERT HYDROGEN AND OXYGEN GAS INTO ELECTRICITY TO POWER
THE ELECTRIC MOTOR"
bonus,energy,Multiple Choice,"In an experiment, students find the relationship between the period of a stick vibrating at its natural frequency and the length L of the stick, measuring the period of the vibrations with a photogate. Which of the following statements BEST reflects the results of the experiment with regard to the period of the vibrating stick? W) It is proportional to L X) It is inversely proportional to L Y) It is proportional to L2 Z) It is inversely proportional to L2","Y) IT IS PROPORTIONAL TO L2
_______________________________________________________"
toss-up,biology,Short Answer,What is the name of the main respiratory structure in arachnids?,BOOK LUNGS (DO NOT ACCEPT: LUNGS)
bonus,biology,Short Answer,"Book lungs evolved from book gills. What ancient arthropod group, still extant today, has book gills?",HORSESHOE CRABS (ACCEPT: MEROSTOMATA)
toss-up,math,Multiple Choice,Which of the following is a function for which f(-x) = -f(x) (read as: f of negative x equals negative f of x)? W) sin(x) X) x2 Y) cos(x) Z) ex,W) sin(x)
bonus,math,Short Answer,"The four lateral faces of a square pyramid are equilateral triangles. If the area of the base is 49 square centimeters, what is the total surface area, in square centimeters, in simplest radical form?","49 + 49 3 (ACCEPT: 49(1 + 3))
_______________________________________________________"
toss-up,biology,Short Answer,How many copies of each chromosome does a male wasp have?,1
bonus,biology,Multiple Choice,Which of the following is NOT in the insect group Apterygota (read as: ahp-teh-ri-GŌE-tah)? W) Cockroach X) Firebrat Y) Bristletail Z) Silverfish,W) COCKROACH
toss-up,energy,Short Answer,"In an experiment, students burned samples of methanol, ethanol, vegetable oil, peanut oil, and kerosene. Which two were the cleanest burning?",METHANOL AND ETHANOL
bonus,energy,Short Answer,"What kind of compound consists of methane surrounded by a crystal cage of water molecules, forming a solid similar to ice?","METHANE CLATHRATE (ACCEPT: METHANE HYDRATE, HYDROMETHANE)
_______________________________________________________"
toss-up,physics,Multiple Choice,"Given 9.8 meters per second squared as g, how much kinetic energy in joules is lost when a 100-gram ball dropped from a 2 meter height rebounds to 1.5 meters? W) 1.96 X) 1.47 Y) 0.98 Z) 0.49",Z) 0.49
bonus,physics,Short Answer,"As a rock with a mass of 4-kilograms drops from the edge of a 40- meter-high cliff, it experiences air resistance with an average strength of 20 newtons during the descent. Given g as 10 meters per second squared, at what speed, in meters per second, will the rock hit the ground?",20
toss-up,biology,Multiple Choice,Cyclic photophosphorylation (read as: FŌE-tōe-fohs-fohr-i-LAY- shon) functions mainly for which of the following purposes? W) Generating NADPH X) Generating PGAL Y) Recycling electrons resulting from the absorption of light in Photosystem I Z) Regenerating RuBP,"Y) RECYCLING ELECTRONS RESULTING FROM THE ABSORPTION OF LIGHT
IN PHOTOSYSTEM I"
bonus,biology,Multiple Choice,Which of the following compounds acts as an activator protein for the lactose operon in Escherichia (read as: ehsh-eh-RIK-ee-ah) coli? W) AP-1 X) AP-2y Y) CAP Z) SAP,Y) CAP
toss-up,chemistry,Multiple Choice,Which of the following ionic salts has the LARGEST lattice dissociation energy? W) Sodium chloride X) Magnesium oxide Y) Magnesium chloride Z) Lithium fluoride,X) MAGNESIUM OXIDE
bonus,chemistry,Short Answer,"If 30 milliliters of 0.10 molar sulfuric acid is titrated with 0.03 molar sodium hydroxide, how many milliliters of sodium hydroxide are required to reach the equivalence point?","200
_______________________________________________________"
toss-up,math,Short Answer,"In a group of 16 students, 12 take science and 8 take math. One student takes neither science nor math. How many students take both?",5
bonus,math,Short Answer,"If a * b = ab ÷ (a + b) [a star b equals a times b divided by the quantity a plus b], then find the value of 4 * (4 * 4) [four star open parenthesis four star four close parenthesis]",4/3 (ACCEPT: 1 1/3)
toss-up,physics,Multiple Choice,"An electromagnetic wave goes into a block of glass with an index of refraction of n = 1.1. In terms of the speed of light C, which of the following is closest to the speed at which the wave propagates inside the glass medium? W) C X) 0.1C Y) 0.9C Z) 1.1C",Y) 0.9C
bonus,physics,Multiple Choice,"Water is warmed by an immersed coil that generates 1000 joules of heat per second when an electric potential difference of 10 volts is applied across its ends. What is the resistance, in ohms, of the heater wire? W) 0.1 X) 1 Y) 10 Z) 100","W) 0.1
_______________________________________________________"
toss-up,chemistry,Multiple Choice,"Which of the following statements does NOT describe a molecule in an octahedral arrangement? W) Two-fold, three-fold, and four-fold rotation axes can all be found X) Two different types of improper rotations can be found Y) Exactly eight different mirror planes can be found Z) An inversion center is present",Y) EXACTLY EIGHT DIFFERENT MIRROR PLANES CAN BE FOUND
bonus,chemistry,Short Answer,"An airtight chamber contains 4 moles of nitrogen and an unknown amount of oxygen. If the partial pressure of oxygen is 150 torr, and the total pressure is 350 torr, how many moles of oxygen are present?","3
_______________________________________________________"
toss-up,biology,Multiple Choice,Which of the following is an example of commensalism? W) A hummingbird drinking from a flower X) A tapeworm living in a host intestine Y) A clown fish living in a sea anemone [uh-NEM-uh-nee] Z) Egrets foraging among cattle fields,Z) EGRETS FORAGING AMONG CATTLE FIELDS
bonus,biology,Multiple Choice,You are walking in July when you come across a hedgehog. The animal does not stir when you pick it up; it is breathing and is not injured. What is the best explanation for the animal’s lack of responsiveness? W) It is hibernating X) It is in a state of torpor Y) It is estivating Z) It is in a state of suspended animation,Y) IT IS ESTIVATING
toss-up,energy,Multiple Choice,Which of the following is NOT an oil product? W) Gasoline X) Syngas Y) Kerosene Z) Asphalt,X) SYNGAS
bonus,energy,Short Answer,"The battery in your laptop is 4 volts and has a resistance of 10 ohms. In amp-hours, if your laptop charges to 100 percent in an 8 hour workday, what is the initial capacity, assuming perfect efficiency?","3.2
_______________________________________________________"
toss-up,math,Multiple Choice,"For the expression 5(cid:3051) (cid:3404) 4(cid:3053), [five to the power of x equals four to the power of z] if x and z are positive, which of the following is true? W) (cid:1876)(cid:3053) (cid:3404) log (cid:2873) [x to the power of z equals log of five-fourths] (cid:2872) (cid:3053) X) (cid:3404) log (cid:4666)(cid:1876)(cid:4667) [z divided by four equals log base five of x] (cid:2873) (cid:2872) Y) (cid:1878) (cid:3407) (cid:1876) (cid:3051) Z) (cid:3407) 1 [x divided by z is less than one] (cid:3053) (cid:3051)","Z) (cid:3407) 1
(cid:3053)"
bonus,math,Short Answer,(cid:2868) 9) MATH Short Answer Evaluate the following definite integral: (cid:1516) (cid:3493)(cid:4666)9(cid:3398)(cid:1876)(cid:2870)(cid:4667)(cid:1856)(cid:1876) [the integral (cid:2879)(cid:2871) from negative three to zero of the square root of open parenthesis nine minus x squared close parenthesis d x] (cid:2877)(cid:3095),"(cid:2872)
_______________________________________________________"
toss-up,biology,Multiple Choice,"If the average fur thickness of wild foxes in the northern hemisphere increased with increasing latitude, this variation would be an example of which of the following. W) Directional selection X) Genetic drift Y) Balancing selection Z) Polymorphism",W) DIRECTIONAL SELECTION
bonus,biology,Multiple Choice,"Compared to a seawater acclimated fish, a freshwater acclimated fish would be expected to have which of the following? W) Higher glomerular filtration rates [gloh-MER-you-lur] X) Increased drinking rates Y) Decreased water gain Z) Increased ion loss",W) HIGHER GLOMERULAR FILTRATION RATES
toss-up,chemistry,Short Answer,"How many sigma and pi bonds, respectively, are in ethyne [ETH-yn], commonly known as acetylene [uh-SET-l-een]?",3 SIGMA AND 2 PI
bonus,chemistry,Multiple Choice,"Consider an arbitrary acid HA [H- A], where A can be any group. Which of the following facts would allow one to directly infer that it is a stronger acid than acetic acid? W) H-A has the ability to protonate water in high yield X) Acetic acid has the ability to protonate H-A in high yield Y) H-A has the ability to protonate acetate in high yield Z) Acetic acid has the ability to protonate A- in high yield","Y) H-A HAS THE ABILITY TO PROTONATE ACETATE IN HIGH YIELD
_______________________________________________________"
toss-up,physics,Short Answer,What physical quantity does the reciprocal of the square root of the product of vacuum magnetic permeability and electric susceptibility represent?,THE SPEED OF LIGHT
bonus,physics,Multiple Choice,The compressibility of an object’s volume is dependent on which of the following? W) Young’s modulus X) Bulk modulus Y) Volume stress Z) Tensile stress,X) BULK MODULUS
toss-up,biology,Multiple Choice,Electroporation of a cell enables which of the following? W) Polar molecules to pass through the plasma membrane X) Glucose to escape the plasma membrane Y) Polar molecules to intercalate into the plasma membrane [in-TUR-kuh-layt] Z) Non-polar molecules to escape the plasma membrane,W) POLAR MOLECULES TO PASS THROUGH THE PLASMA MEMBRANE
bonus,biology,Multiple Choice,Which of the following processes would be least similar in terms of ATP production between normal adipose tissue and brown adipose tissue? W) Glycolysis [gly-KOL-uh-sis] X) Glycogenolysis [gly-KUH-juh-NOL-i-sis] Y) Electron transport chain Z) Citric acid cycle,Y) ELECTRON TRANSPORT CHAIN
toss-up,chemistry,Multiple Choice,Each of the following pairs of chemicals are dissolved in aqueous [AK-wee-uhs] solution at concentrations of 1 molar. Which pair would form a buffer solution? W) Sodium formate and formic acid X) Sodium nitrate and ammonia Y) Sodium hydroxide and nitric acid Z) Sodium chloride and hydrochloric acid,W) SODIUM FORMATE AND FORMIC ACID
bonus,chemistry,Short Answer,"Identify the oxidation number of carbon in each of the following: dimethyl ether (CH OCH ), methylamine (CH NH ), and formaldehyde [fore-MAL-duh-hyd] 3 3 3 2 (H CO). 2","DIMETHYL ETHER: -2; METHYLAMINE: -2; FORMALDEHYDE: 0
_______________________________________________________"
toss-up,energy,Short Answer,What type of device is used to quantitatively measure the heat released by chemical reactions and physical changes at constant volume?,BOMB CALORIMETER (DO NOT ACCEPT: CALORIMETER)
bonus,energy,Multiple Choice,Which of the following is closest to the correct global warming potential factor for nitrous oxide (N O)? 2 W) 3 X) 30 Y) 100 Z) 300,Z) 300
toss-up,math,Short Answer,Express the base twelve numeral ET [E T] in base 10.,142
bonus,math,Short Answer,A 10 X 10 [ten by ten] grid contains 100 unit squares with vertical and horizontal sides. How many squares with vertical and horizontal sides can be drawn whose 4 vertices are also vertices of the unit squares?,"385
_______________________________________________________"
toss-up,biology,Multiple Choice,Which of the following terms is used to describe the center of the field of vision? W) Optic nerve X) Fovea [FOH-vee-uh] Y) Pupil Z) Blind spot,X) FOVEA
bonus,biology,Multiple Choice,Injury to cranial nerve III would result in an inability to do which of the following? W) Smell X) Chew food Y) Move eyes to the left Z) Feel pain in the eye area,Y) MOVE EYES TO THE LEFT
toss-up,physics,Multiple Choice,What must be the capacitance in farads of a capacitor storing 10 joules of energy and having 1 volt potential difference between its plates? W) 2 X) 20 Y) 200 Z) 2000,X) 20
bonus,physics,Short Answer,A necessary condition for a standard laser is that a population of atoms or molecules must have more members in an excited metastable state than in a lower energy state. What is the term for this scenario?,"POPULATION INVERSION
_______________________________________________________"
toss-up,energy,Multiple Choice,Which of the following compounds is an additive to natural gas that serves as an odorant? W) Hydrogen sulfide X) tert-Butylthiol [turt-byoo-til-THY-ol] Y) Acetylsalicylate [uh-seet-l-suh-LIS-uh-layt] Z) Methylamine [meth-uhl-a-MEEN],X) TERT-BUTYLTHIOL
bonus,energy,Short Answer,Calculate the number of air changes per hour in a 10′ x 10′ x 20′ [10 feet by 10 feet by 20 feet] apartment given a leakage rate of 10 cubic feet per minute.,0.3
toss-up,math,Short Answer,"On an average day, Kedar receives 10 spam emails. However, on some days he receives more, and on some days he receives less. What probability distribution best represents the probability that he will receive a certain number of spam emails on a given day?",POISSON DISTRIBUTION
bonus,math,Multiple Choice,"The tangent line to the graph y = e2 – x [y equals e to the power of the quantity two minus x] at the point (1, e) [one, e] intersects both coordinate axes. What is the area of the triangle formed by this tangent line and the coordinate axes? W) 2e X) e2 – 1 [e squared minus one] Y) e2 [e squared] Z) 4e [four e]","W) 2e
_______________________________________________________"
toss-up,chemistry,Multiple Choice,"In the Haber process, one mole of nitrogen gas reacts with three moles of hydrogen gas to produce two moles of ammonia. The process is exothermic. If a particular Haber synthesis is at equilibrium [ee-kwuh-LIB-ree-uhm], which of the following changes to the reaction’s conditions are predicted by Le Chatelier’s principle to INCREASE the yield of ammonia? W) Adding a catalyst X) Increasing the temperature Y) Increasing the pressure of the reaction mixture Z) Increasing the volume of the reaction vessel",Y) INCREASING THE PRESSURE OF THE REACTION MIXTURE
bonus,chemistry,Short Answer,"Nitrogen monoxide reacts with hydrogen gas to form water vapor and nitrogen gas. A 1 liter vessel contains an equilibrium [ee-kwuh-LIB-ree-uhm] mixture of 28 moles of N , 10 moles of H O, 2 moles of NO, and 1 mole of H . Calculate K for this 2 2 2 c reaction.",700
toss-up,biology,Short Answer,Pluripotent [ploor-uh-POHT-nt] cells develop from what type of connective tissue?,MESENCHYME (ACCEPT: MESENCHYMAL)
bonus,biology,Multiple Choice,"In 1937, a medicinal elixir produced by a pharmaceutical company killed 71 adults and 34 children because the solvent for the drug was diethylene [dy- E-thi-leen] glycol, a chemical used now as antifreeze. Diethylene glycol is toxic because it is converted to oxalic acid by alcohol dehydrogenase [dee-HY-druh-juh-nays] and other enzymes, which damages the kidneys and brain. If given early enough, ethanol is a treatment for this poisoning. Which of the following reasons is the most likely explanation for why ethanol is an effective treatment? W) Ethanol is an allosteric inhibitor of alcohol dehydrogenase X) Ethanol is a more competitive substrate for alcohol dehydrogenase than diethylene glycol Y) Diethylene glycol has a stronger affinity for ethanol than for alcohol dehydrogenase Z) Ethanol cleaves the diethylene glycol molecule through an electrophilic attack on the alpha- carbon of diethylene glycol","X) ETHANOL IS A MORE COMPETITIVE SUBSTRATE FOR ALCOHOL
DEHYDROGENASE THAN DIETHYLENE GLYCOL"
toss-up,energy,Short Answer,"1) Energy – Short Answer Identify all the following three categories of fuel cells that can be considered types of proton exchange membrane fuel cells? 1) Direct-methanol, 2) Molten carbonate, 3) Phosphoric acid.",1 AND 3
bonus,energy,Multiple Choice,"1) Energy – Multiple Choice Which of the following molecules is used as a standard for determining the octane rating of gasoline? W) 2,2,4-trimethylpentane [try-methil-PEN-tane] X) N-octane Y) 3-methylheptane [methil-HEP-tane] Z) 2,2,3,3-tetramethylbutane [tetrah-methil-BYOO-tane]","W) 2,2,4-TRIMETHYLPENTANE
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,physics,Short Answer,3) Physics – Short Answer What principle states that the net response at a given point caused by two waves is the sum of the responses that those waves would have caused individually?,SUPERPOSITION
bonus,physics,Short Answer,3) Physics – Short Answer What is the term for the useful work that can be obtainable from a closed system at constant temperature?,"HELMHOLTZ FREE ENERGY
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,biology,Multiple Choice,4) Biology – Multiple Choice The citric acid cycle is a component of what kind of metabolic process? W) Aerobic respiration X) Anaerobic respiration Y) Fermentation Z) Photosynthesis,W) AEROBIC RESPIRATION
bonus,biology,Multiple Choice,4) Biology – Multiple Choice Which of the following best describes a lysogenic cell? W) It contains a prophage X) It is immune to viral infection Y) It is actively producing viral particles Z) It is about to lyse,W) IT CONTAINS A PROPHAGE
toss-up,chemistry,Multiple Choice,"5) Chemistry – Multiple Choice In dilute aqueous solution, H SO is classified as which of 2 4 the following? W) Strong acid X) Weak acid Y) Strong base Z) Weak base",W) STRONG ACID
bonus,chemistry,Multiple Choice,"5) Chemistry – Multiple Choice What signs for enthalpy and entropy changes, respectively, guarantee a spontaneous reaction at all temperatures? W) Positive, positive X) Positive, negative Y) Negative, positive Z) Negative, negative","Y) NEGATIVE, POSITIVE
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,6) Math – Short Answer What is the second derivative with respect to x of 2x3 – 12 evaluated at x = 3?,36
bonus,math,Short Answer,6) Math – Short Answer Solve the following equation for y: 3y minus open parenthesis 2 minus 2y close parenthesis plus 5 = 15 minus y.,2
toss-up,energy,Short Answer,"7) Energy – Short Answer What is the primary gaseous element of wood gas, a product of gasification?",NITROGEN
bonus,energy,Multiple Choice,7) Energy – Multiple Choice Which of the following user facilities at the Department of Energy would be best utilized to determine the building blocks of matter created just after the Big Bang? W) Advanced Photon Source X) Relativistic Heavy Ion Collider Y) High Flux Isotope Reactor Z) Synchrotron Radiation Lightsource,"X) RELATIVISTIC HEAVY ION COLLIDER
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,biology,Multiple Choice,8) Biology – Multiple Choice Which of the following processes is used to produce additional ATP for the light-independent reactions of photosynthesis? W) Cyclic electron flow X) Lactic acid fermentation Y) Glycolysis [glye-KAWL-eh-sis] Z) Beta oxidation,W) CYCLIC ELECTRON FLOW
bonus,biology,Short Answer,8) Biology – Short Answer Place the following four structures in order from inside to outside for stems with a vascular cylinder: 1) Pericycle; 2) Cortex; 3) Epidermis; 4) Pith.,"4, 1, 2, 3"
toss-up,physics,Short Answer,"9) Physics – Short Answer For an airplane in steady, level flight, what resisting force is equal and opposite to the vehicle thrust?","DRAG (ACCEPT: AIR RESISTANCE, FRICTION)"
bonus,physics,Short Answer,"9) Physics – Short Answer To the nearest microfarad, what is the capacitance of a standard parallel plate capacitor with plate separation of 1 micron and plate area of 1 meter squared?","9
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Multiple Choice,"10) Math – Multiple Choice If n is an integer, and xn is positive for all nonzero real numbers x, which of the following must be true about n? W) n is greater than zero X) n does not equal zero Y) n is even Z) n is odd",Y) n IS EVEN
bonus,math,Multiple Choice,"10) Math – Multiple Choice Which of the following points lies in the solution set for the following system of two inequalities in two unknowns: 3y – x ≥ –9 and 3y – 2x < –9? W) (3, 1) X) (4, –4) Y) (8, –2) Z) (8, 2)","Z) (8, 2)"
toss-up,chemistry,Multiple Choice,"12) Chemistry – Multiple Choice Which of the following functional groups is most likely to be formed when dodecane [doh-DECK-ane] undergoes ""cracking?"" W) Alcohol X) Aldehyde Y) Alkene Z) Amide",Y) ALKENE
bonus,chemistry,Short Answer,"12) Chemistry – Short Answer In diagrams of reaction mechanisms, the standard double- headed curved arrow represents the movement of what entities?","ELECTRONS (ACCEPT: ELECTRON PAIR, NEGATIVE CHARGES)"
toss-up,biology,Multiple Choice,13) Biology – Multiple Choice Membrane depolarization of an action potential is able to pass from one cardiac cell to another through what type of connection between cells? W) Desmosomes X) Tight junction Y) Occluding junction Z) Gap junction,Z) GAP JUNCTION
bonus,biology,Multiple Choice,"13) Biology – Multiple Choice Which of the following statements best describes the difference in responses of plasma cells and cytotoxic T-cells? W) Plasma cells respond the first time the invader is present, cytotoxic T-cells respond subsequent times X) Plasma cells execute the cell-mediated response, cytotoxic T-cells execute the humoral response Y) Plasma cells secrete antibodies against a pathogen, cytotoxic T-cells kill virus-infected cells Z) Plasma cells confer active immunity, cytotoxic T-cells confer passive immunity","Y) PLASMA CELLS SECRETE ANTIBODIES AGAINST A PATHOGEN,
CYTOTOXIC T-CELLS KILL VIRUS-INFECTED CELLS
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Multiple Choice,"14) Math – Multiple Choice When working with three coordinate axes, what rule determines the orientation of the z-axis in relation to the x- and y-axes? W) Left-hand rule X) Octant rule Y) Right-hand rule Z) Three-space rule",Y) RIGHT-HAND RULE
bonus,math,Short Answer,14) Math – Short Answer What number must be ADDED to both the numerator and denominator of 3/4 to get 4/3?,–7
toss-up,chemistry,Short Answer,15) Chemistry – Short Answer What property of concentration in chemistry is defined as moles of solute per kilograms of solvent and is useful when calculating freezing-point depression and boiling-point elevation?,"MOLALITY (DO NOT ACCEPT: MOLARITY, NORMALITY)"
bonus,chemistry,Multiple Choice,15) Chemistry – Multiple Choice Which of the following substances would you expect to be the most miscible with water? W) Methanol X) Ethyl acetate Y) 2-butanal Z) Butyraldehyde,"W) METHANOL
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,physics,Short Answer,"17) Physics – Short Answer What electronic measuring instrument may be used as an ohmmeter, ammeter, or voltmeter?",MULTIMETER
bonus,physics,Short Answer,"17) Physics – Short Answer To the nearest whole number of joules, what is the work done by gravity on a 500-gram ball that has rolled 20 meters down a 30-degree incline?","49
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Multiple Choice,18) Energy – Multiple Choice In what form can excess electrical energy be stored in a flywheel? W) Rotational kinetic energy X) Rotational potential energy Y) Translational momentum Z) Rotational gravitational energy,W) ROTATIONAL KINETIC ENERGY
bonus,energy,Short Answer,18) Energy – Short Answer What is the most commonly used material for the anode in commercial lithium-ion batteries?,GRAPHITE
toss-up,math,Short Answer,20) Math – Short Answer How many points of intersection do the graphs of the functions f(x) = –x2 and g(x) = 2 raised to the x power have?,0 (ACCEPT: NONE)
bonus,math,Short Answer,"20) Math – Short Answer The terminal side of an angle in standard position passes through the point (8, –15). Find the sine and tangent, respectively, of the angle.","SINE = –15/17, TANGENT = –15/8 (ACCEPT: –1 7/8)"
toss-up,physics,Short Answer,21) Physics – Short Answer A Carnot engine operates between a hot temperature of 527 degrees Celsius and a cold temperature of 127 degrees Celsius. What is its efficiency?,"50% (ACCEPT: 0.5, 1/2)"
bonus,physics,Short Answer,"21) Physics – Short Answer Three resistors are connected in parallel to a 10-amp DC current source. If the individual resistances are 5 ohms, 8 ohms and 20 ohms, what is the power, to the nearest watt, dissipated by the circuit?","267
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,biology,Short Answer,22) Biology – Short Answer Identify all of the following three statements that are true regarding lysosomes: 1) Lysosomal enzymes are active at acidic pH; 2) Lysosomes are implicated in inclusion-cell disease; 3) Lysosomes are formed from late endosomes.,"1, 2 AND 3"
bonus,biology,Short Answer,"22) Biology – Short Answer The term capnophile, used to describe a microbe, refers to the microbe's preference for environments high in what?","CARBON DIOXIDE (ACCEPT: CARBON DIOXIDE GAS or CO or CO GAS)
2 2"
toss-up,math,Short Answer,1) Math – Short Answer What is the greatest common factor of 18 and 142?,2
bonus,math,Multiple Choice,"1) Math – Multiple Choice Which of the following points does the line 2x – 3y = –12 NOT pass through? W) (–2, 8/3) X) (1, –14/3) Y) (3, 6) Z) (7, 26/3)","X) (1, –14/3)
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Multiple Choice,2) Energy – Multiple Choice Which of the following countries was NOT a major petroleum exporter to the United States in 2015? W) Canada X) Saudi Arabia Y) Iran Z) Venezuela,Y) IRAN
bonus,energy,Short Answer,2) Energy – Short Answer Sustainable biofuel in Brazil is mostly produced from what plant?,SUGARCANE
toss-up,chemistry,Multiple Choice,"3) Chemistry – Multiple Choice If an acid is added to an unbuffered, neutral aqueous solution, which of the following is true? W) The hydroxide ion concentration increases X) The hydronium ion concentration decreases Y) The hydroxide ion concentration decreases Z) The concentrations of the hydronium and hydroxide ion concentrations remain unchanged",Y) THE HYDROXIDE ION CONCENTRATION DECREASES
bonus,chemistry,Multiple Choice,"3) Chemistry – Multiple Choice A student performs combustion analysis on a compound composed of carbon, hydrogen, oxygen, and possibly nitrogen - with molecular mass 56 grams per mole. One mole of the compound reacts with 3 moles of oxygen gas to generate 2 moles of carbon dioxide, 1 mole of water, and an unknown product. How many nitrogen atoms are in the chemical formula? W) Zero X) One Y) Two Z) Three","X) ONE
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,physics,Multiple Choice,"4) Physics – Multiple Choice In millimeters, what must the focal length of the objective lens of a telescope be in order to produce a magnification of 300 when used with a 3-millimeter eye piece? W) 100 X) 300 Y) 900 Z) 1200",Y) 900
bonus,physics,Short Answer,4) Physics – Short Answer What technique uses Bragg's law to identify and characterize crystal structures?,"DIFFRACTION (ACCEPT: X-RAY DIFFRACTION, XRD, X-RAY
CRYSTALLOGRAPHY)"
toss-up,biology,Short Answer,5) Biology – Short Answer How many chromosomes does a human gamete contain?,23
bonus,biology,Multiple Choice,5) Biology – Multiple Choice Which of the following describes the relationship between glucose and fructose? W) Structural isomers X) Diastereomers [dye-ah-STARE-ee-oh-mers] Y) Epimers Z) Enantiomers [en-AN-tee-oh-mirz],"W) STRUCTURAL ISOMERS
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,biology,Multiple Choice,7) Biology – Multiple Choice Which of the following electrophoresis methods is used to analyze RNA? W) Northern Blot X) Southern Blot Y) Eastern Blot Z) Western Blot,W) NORTHERN BLOT
bonus,biology,Multiple Choice,"7) Biology – Multiple Choice All of the following changes would result in an increase in blood pressure, except: W) Increased cardiac output X) Increased heart rate Y) Increased diameter of arterioles Z) Increased stroke volume","Y) INCREASED DIAMETER OF ARTERIOLES
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Short Answer,"9) Energy – Short Answer In large coal and nuclear power plants, the plant's power rating is measured in either ""megawatts e"" or ""megawatts t."" What does ""t"" stand for?",THERMAL
bonus,energy,Short Answer,9) Energy – Short Answer Some nuclear fuels contain thorium which undergoes a neutron capture event followed by two beta minus decays. What element is produced at the end of these three processes?,"URANIUM
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,physics,Multiple Choice,10) Physics – Multiple Choice Which of the following circuit elements resists instantaneous changes in the voltage applied to it? W) Inductor X) Capacitor Y) Resistor Z) Transformer,X) CAPACITOR
bonus,physics,Short Answer,"10) Physics – Short Answer If a helicopter loses engine power at a sufficient height and speed, it is able to autorotate to the ground, extracting energy from the air and, sometimes, landing safely. In this case, gravitational potential energy is converted into what type of energy?","MECHANICAL (ACCEPT: KINETIC, ROTATIONAL, ROTATIONAL KINETIC;
DO NOT ACCEPT: POTENTIAL)"
toss-up,math,Short Answer,11) Math – Short Answer What is the discriminant of the quadratic function y = x2 – 4x + 10?,-24
bonus,math,Short Answer,11) Math – Short Answer What is the derivative evaluated at x = 7 of the fraction with numerator x3 – 1 and denominator x – 1?,"15
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,chemistry,Short Answer,"12) Chemistry – Short Answer At what temperature, in degrees Celsius, does the change in enthalpy for the oxidation of 1 mole of graphite under 1 atmosphere of oxygen to generate carbon dioxide exactly equal the standard enthalpy of formation of carbon dioxide?",25
bonus,chemistry,Short Answer,12) Chemistry – Short Answer Identify all of the following three compounds that have sp2 [S-P-2] hybridized central atoms: 1) Nitrogen trichloride; 2) Carbon dioxide; 3) Hydrocyanic acid.,NONE OF THEM
toss-up,physics,Short Answer,"13) Physics – Short Answer A ball is thrown at a 30 degree angle with respect to the horizontal at a speed of 60 meters per second. At what time, to the nearest whole second, does the ball reach the highest point in its trajectory?",3
bonus,physics,Multiple Choice,"13) Physics – Multiple Choice Given that it relates the energy of a photon to its frequency, what are the SI units of Planck's constant? W) Joule seconds X) Watts Y) Newton meters Z) Watts per second","W) JOULE SECONDS
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,chemistry,Multiple Choice,14) Chemistry – Multiple Choice Many salts dissolve to a greater extent in hot water than cold water. Which of the following best explains this fact? W) Most salts dissolve endothermically X) Most salts dissolve exothermically Y) There are more collisions between salt ions and water molecules at a higher temperature Z) The ion-dipole forces between water molecules and salt ions increase with temperature,W) MOST SALTS DISSOLVE ENDOTHERMICALLY
bonus,chemistry,Multiple Choice,"14) Chemistry – Multiple Choice A protein chemist isolates a new enzyme. Which of the following techniques, when performed alone, would be most useful for determining its size? W) NMR spectroscopy X) MALDI-TOF mass spectrometry Y) Elemental analysis Z) Gravimetric analysis",X) MALDI-TOF MASS SPECTROMETRY
toss-up,energy,Short Answer,16) Energy – Short Answer What one-carbon alcohol can be used directly as fuel in flex-fuel cars due to its high octane rating?,METHANOL
